1 Terrestrial,,,,,,,,,,,,,,,,,,,
,C29,Friedeline,C22:0-OH,C24:0-OH,C26:0-OH,C28:0-OH,C24:0 (F4),C26:0 (F4),C28:0 (F4),C30:0 (F4),C24:0 (FA),C26:0 (FA),C28:0 (FA),C30:0 (FA),CPI,ACL,BIT-index,,
OF 3,252.65,523.83,632.52,627.94,411.68,270.53,284.45,233.39,108.09,40.13,841.05,899.03,792.39,478.66,3.58,28.82,0.05,,
OF 17,1736.12,5825.05,3786.43,4072.07,4644.57,3463.78,2770.99,2382.91,2340.24,1687.05,3068.39,2748.85,2461.84,2661.17,5.22,29.26,0.93,,
JAM 1,4978.33,6930.29,5129.81,6213.98,5448.33,3763.95,2836.28,2298.78,1659.68,1388.27,7616.45,4154.21,3026.91,2202.05,6.12,29.31,0.91,,
,,,,,,,,,,,,,,,,,,,
2 Marine,,,,,,,,,,,,,,,,,,,
,Phytane,C37:3,C37:2,Cholesterol,Brassicasterol ,Dinosterol ,"1,15-C30-Alkyldiol ",C14:0 (F4),C16:0 (F4),C16:1w7 (F4),C18:0 (F4),C14:0 (FA),C16:0 (FA),C16:1w7 (FA),C18:0 (FA),Uk37',SST,TEX86,SST
OF 3,239.71,574.95,1207.40,197.73,177.17,467.80,39.85,535.39,1880.25,200.83,1000.40,712.68,3346.67,234.95,1960.86,0.32,8.47,0.61,23.25
OF 17,299.17,0.00,0.00,1034.69,373.69,120.01,0.00,1484.16,6869.96,670.32,4315.03,2680.10,9520.08,479.45,4698.18,0.00,0.00,0.57,21.51
JAM 1,15.20,54.27,104.05,84.47,41.32,527.61,103.80,408.07,2710.58,93.73,1835.08,1474.96,6941.59,0.00,3476.38,0.34,9.08,0.56,20.66
,,,,,,,,,,,,,,,,,,,
3 Microbial + Methane,,,,,,,,,,,,,,,,,,,
,Crocetane,PMI,Diploptene,Homohopane,Archaeol,OH-Archaeol,Crenarchaeol,GDGT-0,GDGT-1,GDGT-2,GDGT-3,isoGDGT,MI,,,,,,
OF 3,239.71,204.62,19.49,3.55,727.87,2005.69,871,1249,297,410,34,2872.35,0.46,,,,,,
OF 17,299.17,58.38,99.60,11.68,156.16,0.00,7,15,2,2,0,25.93,0.33,,,,,,
JAM 1,15.20,33.71,0.00,45.54,65.12,137.47,380,415,42,38,9,891.32,0.19,,,,,,
,,,,,,,,,,,,,,,,,,,
4 O2 + anoxia,,,,,,,,,,,,,,,,,,,
,Bishomohopanol,C16:1w5 (F4),"cyC17:0w5,6 (F4)",C18:1w7 (F4),Bishomohopanoic acid (F4),C16:1w5 (FA),"cyC17:0w5,6 (FA)",C18:1w7 (FA),Bishomohopanoic acid (FA),brGDGT,,,,,,,,,
OF 3,80.49,98.35,131.73,56.33,448.80,528.80,101.81,207.89,892.52,48.78,,,,,,,,,
OF 17,0.00,101.93,32.43,223.49,389.14,557.52,482.38,619.12,584.88,87.25,,,,,,,,,
JAM 1,98.16,24.38,4.59,92.44,3735.35,0.00,533.15,379.82,6524.07,3619.54,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
