Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Treatment	Level 	Demag Type	Level	 Decl.	 Incl.	Intensity	Hole Incl.	Intensity X	Intensity Y	Intensity Z	Run   	Comment

155	 940	A	  1	H	 2	   0.00	       1.500	NRM      	      	AFD       	   20	220.50	 -7.90	2.709E+00	          	           	           	           	  1840	
155	 940	A	  1	H	 2	   5.00	       1.550	NRM      	      	AFD       	   20	227.90	-13.50	5.349E+00	          	           	           	           	  1840	
155	 940	A	  1	H	 2	  10.00	       1.600	NRM      	      	AFD       	   20	230.60	-18.10	6.288E+00	          	           	           	           	  1840	
155	 940	A	  1	H	 2	  15.00	       1.650	NRM      	      	AFD       	   20	235.80	-14.60	6.419E+00	          	           	           	           	  1840	
155	 940	A	  1	H	 2	  20.00	       1.700	NRM      	      	AFD       	   20	236.90	 -7.10	7.748E+00	          	           	           	           	  1840	
155	 940	A	  1	H	 2	  25.00	       1.750	NRM      	      	AFD       	   20	233.30	 -6.30	8.556E+00	          	           	           	           	  1840	
155	 940	A	  1	H	 2	  30.00	       1.800	NRM      	      	AFD       	   20	226.40	-12.80	7.392E+00	          	           	           	           	  1840	
155	 940	A	  1	H	 2	  35.00	       1.850	NRM      	      	AFD       	   20	221.80	-21.50	6.208E+00	          	           	           	           	  1840	
155	 940	A	  1	H	 2	  40.00	       1.900	NRM      	      	AFD       	   20	236.20	-22.70	5.848E+00	          	           	           	           	  1840	
155	 940	A	  1	H	 2	  45.00	       1.950	NRM      	      	AFD       	   20	248.10	-13.10	6.688E+00	          	           	           	           	  1840	
155	 940	A	  1	H	 2	  50.00	       2.000	NRM      	      	AFD       	   20	255.50	 -6.70	6.942E+00	          	           	           	           	  1840	
155	 940	A	  1	H	 2	  55.00	       2.050	NRM      	      	AFD       	   20	254.80	 -6.50	6.161E+00	          	           	           	           	  1840	
155	 940	A	  1	H	 2	  60.00	       2.100	NRM      	      	AFD       	   20	252.20	-11.60	4.625E+00	          	           	           	           	  1840	
155	 940	A	  1	H	 2	  65.00	       2.150	NRM      	      	AFD       	   20	249.70	 -5.70	7.003E+00	          	           	           	           	  1840	
155	 940	A	  1	H	 2	  70.00	       2.200	NRM      	      	AFD       	   20	253.90	  2.40	1.177E+01	          	           	           	           	  1840	
155	 940	A	  1	H	 2	  75.00	       2.250	NRM      	      	AFD       	   20	253.60	  8.20	1.131E+01	          	           	           	           	  1840	
155	 940	A	  1	H	 2	  80.00	       2.300	NRM      	      	AFD       	   20	249.50	 22.20	5.871E+00	          	           	           	           	  1840	
155	 940	A	  1	H	 2	  85.00	       2.350	NRM      	      	AFD       	   20	241.70	 34.90	3.485E+00	          	           	           	           	  1840	
155	 940	A	  1	H	 2	  90.00	       2.400	NRM      	      	AFD       	   20	247.20	 21.00	4.635E+00	          	           	           	           	  1840	
155	 940	A	  1	H	 2	  95.00	       2.450	NRM      	      	AFD       	   20	249.50	 20.70	5.201E+00	          	           	           	           	  1840	
155	 940	A	  1	H	 2	 100.00	       2.500	NRM      	      	AFD       	   20	257.90	 23.70	5.696E+00	          	           	           	           	  1840	
155	 940	A	  1	H	 2	 105.00	       2.550	NRM      	      	AFD       	   20	259.30	 31.20	5.680E+00	          	           	           	           	  1840	
155	 940	A	  1	H	 2	 110.00	       2.600	NRM      	      	AFD       	   20	254.80	 32.90	5.676E+00	          	           	           	           	  1840	
155	 940	A	  1	H	 2	 115.00	       2.650	NRM      	      	AFD       	   20	252.90	 23.90	7.104E+00	          	           	           	           	  1840	
155	 940	A	  1	H	 2	 120.00	       2.700	NRM      	      	AFD       	   20	266.20	 14.00	9.446E+00	          	           	           	           	  1840	
155	 940	A	  2	H	 1	   0.00	       2.800	NRM      	      	AFD       	   20	135.20	  3.00	6.257E+00	          	           	           	           	  1841	
155	 940	A	  2	H	 1	   5.00	       2.850	NRM      	      	AFD       	   20	120.00	 12.20	1.131E+01	          	           	           	           	  1841	
155	 940	A	  2	H	 1	  10.00	       2.900	NRM      	      	AFD       	   20	112.40	 28.00	1.093E+01	          	           	           	           	  1841	
155	 940	A	  2	H	 1	  15.00	       2.950	NRM      	      	AFD       	   20	109.80	 34.50	9.025E+00	          	           	           	           	  1841	
155	 940	A	  2	H	 1	  20.00	       3.000	NRM      	      	AFD       	   20	109.90	 27.60	9.651E+00	          	           	           	           	  1841	
155	 940	A	  2	H	 1	  25.00	       3.050	NRM      	      	AFD       	   20	109.60	 24.20	1.014E+01	          	           	           	           	  1841	
155	 940	A	  2	H	 1	  30.00	       3.100	NRM      	      	AFD       	   20	108.00	 26.20	1.010E+01	          	           	           	           	  1841	
155	 940	A	  2	H	 1	  35.00	       3.150	NRM      	      	AFD       	   20	108.40	 30.30	1.006E+01	          	           	           	           	  1841	
155	 940	A	  2	H	 1	  40.00	       3.200	NRM      	      	AFD       	   20	111.00	 34.50	9.803E+00	          	           	           	           	  1841	
155	 940	A	  2	H	 1	  45.00	       3.250	NRM      	      	AFD       	   20	112.70	 36.40	9.865E+00	          	           	           	           	  1841	
155	 940	A	  2	H	 1	  50.00	       3.300	NRM      	      	AFD       	   20	111.30	 35.60	9.938E+00	          	           	           	           	  1841	
155	 940	A	  2	H	 1	  55.00	       3.350	NRM      	      	AFD       	   20	109.80	 35.10	9.586E+00	          	           	           	           	  1841	
155	 940	A	  2	H	 1	  60.00	       3.400	NRM      	      	AFD       	   20	107.60	 34.50	9.288E+00	          	           	           	           	  1841	
155	 940	A	  2	H	 1	  65.00	       3.450	NRM      	      	AFD       	   20	106.30	 33.00	9.537E+00	          	           	           	           	  1841	
155	 940	A	  2	H	 1	  70.00	       3.500	NRM      	      	AFD       	   20	107.90	 33.20	9.680E+00	          	           	           	           	  1841	
155	 940	A	  2	H	 1	  75.00	       3.550	NRM      	      	AFD       	   20	109.10	 32.90	9.776E+00	          	           	           	           	  1841	
155	 940	A	  2	H	 1	  80.00	       3.600	NRM      	      	AFD       	   20	107.70	 32.20	1.002E+01	          	           	           	           	  1841	
155	 940	A	  2	H	 1	  85.00	       3.650	NRM      	      	AFD       	   20	106.80	 32.00	1.005E+01	          	           	           	           	  1841	
155	 940	A	  2	H	 1	  90.00	       3.700	NRM      	      	AFD       	   20	107.00	 31.00	1.025E+01	          	           	           	           	  1841	
155	 940	A	  2	H	 1	  95.00	       3.750	NRM      	      	AFD       	   20	107.80	 30.70	9.985E+00	          	           	           	           	  1841	
