Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Density (g/cc)	

155	 940	A	  1	H	 1	   3.9	       0.039	         1.347	
155	 940	A	  1	H	 1	   6.2	       0.062	         1.388	
155	 940	A	  1	H	 1	   7.0	       0.070	         1.385	
155	 940	A	  1	H	 1	   8.1	       0.081	         1.369	
155	 940	A	  1	H	 1	  10.1	       0.101	         1.377	
155	 940	A	  1	H	 1	  12.3	       0.123	         1.367	
155	 940	A	  1	H	 1	  13.0	       0.130	         1.342	
155	 940	A	  1	H	 1	  14.0	       0.140	         1.369	
155	 940	A	  1	H	 1	  16.0	       0.160	         1.257	
155	 940	A	  1	H	 1	  18.1	       0.181	         1.101	
155	 940	A	  1	H	 1	  19.0	       0.190	         0.998	
155	 940	A	  1	H	 1	  20.2	       0.202	         1.068	
155	 940	A	  1	H	 1	  22.0	       0.220	         1.041	
155	 940	A	  1	H	 1	  24.2	       0.242	         0.723	
155	 940	A	  1	H	 1	  25.0	       0.250	         0.817	
155	 940	A	  1	H	 1	  26.0	       0.260	         1.178	
155	 940	A	  1	H	 1	  28.0	       0.280	         0.829	
155	 940	A	  1	H	 1	  30.2	       0.302	         1.603	
155	 940	A	  1	H	 1	  31.0	       0.310	         1.637	
155	 940	A	  1	H	 1	  31.9	       0.319	         1.694	
155	 940	A	  1	H	 1	  34.0	       0.340	         1.632	
155	 940	A	  1	H	 1	  36.0	       0.360	         1.651	
155	 940	A	  1	H	 1	  37.0	       0.370	         1.577	
155	 940	A	  1	H	 1	  39.2	       0.392	         1.691	
155	 940	A	  1	H	 1	  40.0	       0.400	         1.686	
155	 940	A	  1	H	 1	  40.9	       0.409	         1.656	
155	 940	A	  1	H	 1	  43.0	       0.430	         1.694	
155	 940	A	  1	H	 1	  44.9	       0.449	         1.694	
155	 940	A	  1	H	 1	  46.0	       0.460	         1.685	
155	 940	A	  1	H	 1	  46.9	       0.469	         1.693	
155	 940	A	  1	H	 1	  49.0	       0.490	         1.698	
155	 940	A	  1	H	 1	  50.8	       0.508	         1.633	
155	 940	A	  1	H	 1	  52.0	       0.520	         1.634	
155	 940	A	  1	H	 1	  52.6	       0.526	         1.651	
155	 940	A	  1	H	 1	  55.0	       0.550	         1.634	
155	 940	A	  1	H	 1	  56.8	       0.568	         1.669	
155	 940	A	  1	H	 1	  58.3	       0.583	         1.619	
155	 940	A	  1	H	 1	  61.1	       0.611	         1.685	
155	 940	A	  1	H	 1	  62.1	       0.621	         1.698	
155	 940	A	  1	H	 1	  63.9	       0.639	         1.675	
155	 940	A	  1	H	 1	  66.3	       0.663	         1.687	
155	 940	A	  1	H	 1	  67.0	       0.670	         1.693	
155	 940	A	  1	H	 1	  68.0	       0.680	         1.674	
155	 940	A	  1	H	 1	  70.0	       0.700	         1.670	
155	 940	A	  1	H	 1	  72.0	       0.720	         1.665	
155	 940	A	  1	H	 1	  73.0	       0.730	         1.670	
155	 940	A	  1	H	 1	  73.9	       0.739	         1.681	
155	 940	A	  1	H	 1	  76.1	       0.761	         1.671	
155	 940	A	  1	H	 1	  78.1	       0.781	         1.728	
155	 940	A	  1	H	 1	  79.0	       0.790	         1.681	
155	 940	A	  1	H	 1	  80.0	       0.800	         1.678	
155	 940	A	  1	H	 1	  82.0	       0.820	         1.694	
155	 940	A	  1	H	 1	  84.1	       0.841	         1.726	
155	 940	A	  1	H	 1	  85.0	       0.850	         1.758	
155	 940	A	  1	H	 1	  85.9	       0.859	         1.712	
155	 940	A	  1	H	 1	  88.0	       0.880	         1.691	
155	 940	A	  1	H	 1	  90.2	       0.902	         1.726	
155	 940	A	  1	H	 1	  91.0	       0.910	         1.726	
155	 940	A	  1	H	 1	  94.0	       0.940	         1.712	
155	 940	A	  1	H	 1	  95.5	       0.955	         1.705	
155	 940	A	  1	H	 1	  97.8	       0.978	         1.757	
155	 940	A	  1	H	 1	 100.1	       1.001	         1.754	
155	 940	A	  1	H	 1	 102.5	       1.025	         1.740	
155	 940	A	  1	H	 1	 104.9	       1.049	         1.753	
155	 940	A	  1	H	 1	 107.2	       1.072	         1.760	
155	 940	A	  1	H	 1	 109.0	       1.090	         1.767	
155	 940	A	  1	H	 1	 111.6	       1.116	         1.792	
155	 940	A	  1	H	 1	 113.9	       1.139	         1.784	
155	 940	A	  1	H	 1	 116.2	       1.162	         1.731	
155	 940	A	  1	H	 1	 118.6	       1.186	         1.701	
155	 940	A	  1	H	 1	 121.1	       1.211	         1.657	
155	 940	A	  1	H	 1	 123.3	       1.233	         1.723	
155	 940	A	  1	H	 1	 125.6	       1.256	         1.714	
155	 940	A	  1	H	 1	 128.0	       1.280	         1.706	
155	 940	A	  1	H	 1	 130.4	       1.304	         1.733	
155	 940	A	  1	H	 1	 132.7	       1.327	         1.762	
155	 940	A	  1	H	 1	 135.0	       1.350	         1.562	
155	 940	A	  1	H	 2	   4.0	       1.540	         1.419	
155	 940	A	  1	H	 2	   6.4	       1.564	         1.500	
155	 940	A	  1	H	 2	   7.0	       1.570	         1.468	
155	 940	A	  1	H	 2	   8.4	       1.584	         1.459	
155	 940	A	  1	H	 2	  10.1	       1.601	         1.469	
155	 940	A	  1	H	 2	  12.2	       1.622	         1.444	
155	 940	A	  1	H	 2	  13.0	       1.630	         1.480	
155	 940	A	  1	H	 2	  14.1	       1.641	         1.411	
155	 940	A	  1	H	 2	  15.9	       1.659	         1.295	
155	 940	A	  1	H	 2	  17.5	       1.675	         1.246	
155	 940	A	  1	H	 2	  19.0	       1.690	         1.236	
155	 940	A	  1	H	 2	  22.1	       1.721	         1.406	
155	 940	A	  1	H	 2	  25.0	       1.750	         1.129	
155	 940	A	  1	H	 2	  27.3	       1.773	         1.070	
155	 940	A	  1	H	 2	  28.0	       1.780	         1.436	
155	 940	A	  1	H	 2	  29.0	       1.790	         1.770	
155	 940	A	  1	H	 2	  31.0	       1.810	         1.735	
155	 940	A	  1	H	 2	  33.2	       1.832	         1.781	
155	 940	A	  1	H	 2	  34.0	       1.840	         1.723	
155	 940	A	  1	H	 2	  35.0	       1.850	         1.746	
155	 940	A	  1	H	 2	  37.0	       1.870	         1.738	
155	 940	A	  1	H	 2	  39.0	       1.890	         1.793	
155	 940	A	  1	H	 2	  40.0	       1.900	         1.762	
155	 940	A	  1	H	 2	  40.7	       1.907	         1.783	
155	 940	A	  1	H	 2	  43.1	       1.931	         1.780	
155	 940	A	  1	H	 2	  44.8	       1.948	         1.769	
155	 940	A	  1	H	 2	  46.0	       1.960	         1.730	
155	 940	A	  1	H	 2	  46.8	       1.968	         1.802	
155	 940	A	  1	H	 2	  49.0	       1.990	         1.790	
155	 940	A	  1	H	 2	  50.8	       2.008	         1.769	
155	 940	A	  1	H	 2	  52.0	       2.020	         1.723	
155	 940	A	  1	H	 2	  52.6	       2.026	         1.728	
155	 940	A	  1	H	 2	  55.0	       2.050	         1.790	
155	 940	A	  1	H	 2	  56.4	       2.064	         1.793	
155	 940	A	  1	H	 2	  58.0	       2.080	         1.802	
155	 940	A	  1	H	 2	  61.0	       2.110	         1.783	
155	 940	A	  1	H	 2	  62.8	       2.128	         1.791	
155	 940	A	  1	H	 2	  64.0	       2.140	         1.792	
155	 940	A	  1	H	 2	  64.6	       2.146	         1.784	
155	 940	A	  1	H	 2	  67.0	       2.170	         1.806	
155	 940	A	  1	H	 2	  67.9	       2.179	         1.775	
155	 940	A	  1	H	 2	  70.0	       2.200	         1.757	
155	 940	A	  1	H	 2	  71.7	       2.217	         1.799	
155	 940	A	  1	H	 2	  73.0	       2.230	         1.760	
155	 940	A	  1	H	 2	  73.6	       2.236	         1.763	
155	 940	A	  1	H	 2	  76.0	       2.260	         1.761	
155	 940	A	  1	H	 2	  77.9	       2.279	         1.775	
155	 940	A	  1	H	 2	  79.0	       2.290	         1.804	
155	 940	A	  1	H	 2	  82.0	       2.320	         1.790	
155	 940	A	  1	H	 2	  83.3	       2.333	         1.739	
155	 940	A	  1	H	 2	  85.6	       2.356	         1.769	
155	 940	A	  1	H	 2	  88.0	       2.380	         1.765	
155	 940	A	  1	H	 2	  90.4	       2.404	         1.780	
155	 940	A	  1	H	 2	  92.7	       2.427	         1.781	
155	 940	A	  1	H	 2	  95.0	       2.450	         1.784	
155	 940	A	  1	H	 2	  97.3	       2.473	         1.779	
155	 940	A	  1	H	 2	  99.7	       2.497	         1.793	
155	 940	A	  1	H	 2	 102.0	       2.520	         1.782	
155	 940	A	  1	H	 2	 104.4	       2.544	         1.811	
155	 940	A	  1	H	 2	 106.8	       2.568	         1.787	
155	 940	A	  1	H	 2	 109.1	       2.591	         1.767	
155	 940	A	  1	H	 2	 111.1	       2.611	         1.802	
155	 940	A	  1	H	 2	 113.4	       2.634	         1.799	
155	 940	A	  1	H	 2	 115.7	       2.657	         1.814	
155	 940	A	  1	H	 2	 118.2	       2.682	         1.823	
155	 940	A	  1	H	 2	 120.6	       2.706	         1.859	
155	 940	A	  1	H	 2	 123.0	       2.730	         1.066	
155	 940	A	  2	H	 1	   4.0	       2.840	         1.558	
155	 940	A	  2	H	 1	   6.0	       2.860	         1.571	
155	 940	A	  2	H	 1	   7.0	       2.870	         1.593	
155	 940	A	  2	H	 1	   8.0	       2.880	         1.585	
155	 940	A	  2	H	 1	  10.0	       2.900	         1.582	
155	 940	A	  2	H	 1	  12.0	       2.920	         1.605	
155	 940	A	  2	H	 1	  13.0	       2.930	         1.579	
155	 940	A	  2	H	 1	  16.0	       2.960	         1.459	
155	 940	A	  2	H	 1	  17.6	       2.976	         1.298	
155	 940	A	  2	H	 1	  19.2	       2.992	         1.242	
155	 940	A	  2	H	 1	  22.0	       3.020	         1.134	
155	 940	A	  2	H	 1	  23.2	       3.032	         1.314	
155	 940	A	  2	H	 1	  25.0	       3.050	         1.821	
155	 940	A	  2	H	 1	  27.3	       3.073	         1.851	
155	 940	A	  2	H	 1	  28.0	       3.080	         1.828	
155	 940	A	  2	H	 1	  29.1	       3.091	         1.838	
155	 940	A	  2	H	 1	  31.0	       3.110	         1.855	
155	 940	A	  2	H	 1	  33.2	       3.132	         1.829	
155	 940	A	  2	H	 1	  34.0	       3.140	         1.841	
155	 940	A	  2	H	 1	  35.3	       3.153	         1.794	
155	 940	A	  2	H	 1	  37.0	       3.170	         1.809	
155	 940	A	  2	H	 1	  38.2	       3.182	         1.832	
155	 940	A	  2	H	 1	  40.0	       3.200	         1.796	
