Leg	Site	H	Core	T	Sec	Top (cm)	Depth (mbsf)	Magnetic Suscept.	Corrected Suscept.	.
155	 940	A	  1	H	  1	     4.6	       0.046	           10.000	                  	
155	 940	A	  1	H	  1	     7.4	       0.074	           16.000	                  	
155	 940	A	  1	H	  1	    10.5	       0.105	           16.000	                  	
155	 940	A	  1	H	  1	    13.4	       0.134	           13.000	                  	
155	 940	A	  1	H	  1	    16.4	       0.164	           14.000	                  	
155	 940	A	  1	H	  1	    19.5	       0.195	           15.000	                  	
155	 940	A	  1	H	  1	    22.4	       0.224	           12.000	                  	
155	 940	A	  1	H	  1	    25.4	       0.254	           13.000	                  	
155	 940	A	  1	H	  1	    28.4	       0.284	           19.000	                  	
155	 940	A	  1	H	  1	    31.4	       0.314	           23.000	                  	
155	 940	A	  1	H	  1	    34.4	       0.344	           18.000	                  	
155	 940	A	  1	H	  1	    37.4	       0.374	           22.000	                  	
155	 940	A	  1	H	  1	    40.4	       0.404	           23.000	                  	
155	 940	A	  1	H	  1	    43.5	       0.435	           25.000	                  	
155	 940	A	  1	H	  1	    46.5	       0.465	           23.000	                  	
155	 940	A	  1	H	  1	    49.4	       0.494	           23.000	                  	
155	 940	A	  1	H	  1	    52.5	       0.525	           23.000	                  	
155	 940	A	  1	H	  1	    55.4	       0.554	           23.000	                  	
155	 940	A	  1	H	  1	    58.4	       0.584	           19.000	                  	
155	 940	A	  1	H	  1	    61.4	       0.614	           19.000	                  	
155	 940	A	  1	H	  1	    64.5	       0.645	           20.000	                  	
155	 940	A	  1	H	  1	    67.4	       0.674	           22.000	                  	
155	 940	A	  1	H	  1	    70.4	       0.704	           20.000	                  	
155	 940	A	  1	H	  1	    73.4	       0.734	           25.000	                  	
155	 940	A	  1	H	  1	    76.4	       0.764	           24.000	                  	
155	 940	A	  1	H	  1	    79.5	       0.795	           26.000	                  	
155	 940	A	  1	H	  1	    82.4	       0.824	           29.000	                  	
155	 940	A	  1	H	  1	    85.4	       0.854	           31.000	                  	
155	 940	A	  1	H	  1	    88.4	       0.884	           30.000	                  	
155	 940	A	  1	H	  1	    91.5	       0.915	           29.000	                  	
155	 940	A	  1	H	  1	    94.4	       0.944	           34.000	                  	
155	 940	A	  1	H	  1	    97.4	       0.974	           32.000	                  	
155	 940	A	  1	H	  1	   100.4	       1.004	           34.000	                  	
155	 940	A	  1	H	  1	   103.4	       1.034	           34.000	                  	
155	 940	A	  1	H	  1	   106.4	       1.064	           35.000	                  	
