Leg	Site	H	Cor	T	Sc	Top(cm)	Bot(cm)	Depth (mbsf)	WW (%)	WD (%)	BD (g/cc)	DD (g/cc)	GD (g/cc)	PO (%)	VR    	Method	Comments

155	 940	A	  1	H	 1	  67.0	  69.0	       0.670	  56.5	 129.7	    1.468	    0.639	    3.352	  80.9	 4.248	     B	        
155	 940	A	  1	H	 2	  89.0	  91.0	       2.390	  50.2	 100.8	    1.517	    0.756	    2.948	  74.4	 2.901	     B	        
155	 940	A	  2	H	 1	  59.0	  61.0	       3.390	  44.9	  81.5	    1.580	    0.870	    2.836	  69.3	 2.258	     B	        
155	 940	A	  2	H	 2	  79.0	  81.0	       5.090	  43.3	  76.4	    1.623	    0.920	    2.935	  68.6	 2.189	     B	        
155	 940	A	  2	H	 3	  94.0	  96.0	       6.740	  41.7	  71.4	    1.650	    0.963	    2.927	  67.1	 2.040	     B	        
155	 940	A	  2	H	 4	  77.0	  79.0	       8.070	  41.6	  71.3	    1.631	    0.952	    2.826	  66.3	 1.968	     B	        
155	 940	A	  2	H	 5	 110.0	 112.0	       9.900	  42.0	  72.4	    1.633	    0.947	    2.870	  67.0	 2.030	     B	        
155	 940	A	  2	H	 6	  79.0	  81.0	      11.090	  39.9	  66.4	    1.679	    1.009	    2.921	  65.4	 1.894	     B	        
155	 940	A	  2	H	 7	   9.0	  11.0	      11.890	  40.0	  66.6	    1.669	    1.001	    2.873	  65.1	 1.869	     B	        
155	 940	A	  3	H	 1	  71.0	  73.0	      13.010	  38.0	  61.2	    1.708	    1.059	    2.889	  63.3	 1.727	     B	        
155	 940	A	  3	H	 2	 117.0	 119.0	      14.970	  39.0	  63.9	    1.704	    1.039	    2.961	  64.9	 1.849	     B	        
155	 940	A	  3	H	 3	 142.0	 144.0	      16.720	  37.1	  58.9	    1.719	    1.082	    2.864	  62.2	 1.648	     B	        
155	 940	A	  3	H	 4	  40.0	  42.0	      17.200	  36.9	  58.4	    1.734	    1.095	    2.910	  62.4	 1.659	     B	        
155	 940	A	  3	H	 5	  15.0	  17.0	      18.450	  33.3	  49.8	    1.787	    1.193	    2.844	  58.1	 1.384	     B	        
155	 940	A	  3	H	 6	  67.0	  69.0	      20.470	  35.4	  54.8	    1.756	    1.135	    2.886	  60.7	 1.543	     B	        
155	 940	A	  4	H	 1	 116.0	 118.0	      22.960	  34.8	  53.3	    1.757	    1.146	    2.838	  59.6	 1.476	     B	        
155	 940	A	  4	H	 2	  87.0	  89.0	      24.170	  34.7	  53.2	    1.778	    1.160	    2.925	  60.3	 1.521	     B	        
155	 940	A	  4	H	 3	  38.0	  40.0	      25.180	  34.4	  52.4	    1.773	    1.163	    2.874	  59.5	 1.471	     B	        
155	 940	A	  4	H	 4	  67.0	  69.0	      26.970	  34.1	  51.7	    1.788	    1.179	    2.909	  59.5	 1.469	     B	        
155	 940	A	  4	H	 5	  76.0	  78.0	      28.560	  32.6	  48.4	    1.797	    1.211	    2.831	  57.2	 1.338	     B	        
155	 940	A	  4	H	 6	  84.0	  86.0	      30.140	  33.6	  50.5	    1.800	    1.196	    2.916	  59.0	 1.439	     B	        
155	 940	A	  4	H	 7	  43.0	  45.0	      31.230	  33.5	  50.3	    1.784	    1.186	    2.846	  58.3	 1.399	     B	        
155	 940	A	  5	H	 1	  96.0	  98.0	      32.260	  34.3	  52.3	    1.768	    1.161	    2.849	  59.3	 1.454	     B	        
155	 940	A	  5	H	 2	  87.0	  89.0	      33.470	  34.6	  52.9	    1.777	    1.162	    2.907	  60.0	 1.502	     B	        
155	 940	A	  5	H	 3	  19.0	  21.0	      34.290	  34.0	  51.5	    1.766	    1.166	    2.818	  58.6	 1.417	     B	        
155	 940	A	  5	H	 4	   9.0	  11.0	      35.230	  33.3	  49.8	    1.797	    1.199	    2.881	  58.4	 1.402	     B	        
155	 940	A	  5	H	 5	  58.0	  60.0	      36.520	  33.1	  49.6	    1.793	    1.198	    2.855	  58.0	 1.383	     B	        
155	 940	A	  5	H	 6	  47.0	  49.0	      37.200	  33.4	  50.2	    1.802	    1.200	    2.911	  58.8	 1.426	     B	        
155	 940	A	  5	H	 7	  80.0	  82.0	      39.000	  33.5	  50.4	    1.792	    1.192	    2.881	  58.6	 1.417	     B	        
155	 940	A	  6	H	 1	  67.0	  69.0	      41.470	  31.9	  46.8	    1.815	    1.237	    2.844	  56.5	 1.300	     B	        
155	 940	A	  6	H	 2	  72.0	  74.0	      43.020	  32.0	  47.0	    1.814	    1.234	    2.845	  56.6	 1.305	     B	        
155	 940	A	  6	H	 3	  69.0	  71.0	      44.490	  31.9	  46.8	    1.814	    1.236	    2.838	  56.5	 1.297	     B	        
155	 940	A	  6	H	 4	  87.0	  89.0	      46.170	  32.9	  49.1	    1.825	    1.224	    2.961	  58.7	 1.419	     B	        
155	 940	A	  6	H	 5	  82.0	  84.0	      47.620	  31.5	  45.9	    1.836	    1.259	    2.889	  56.4	 1.296	     B	        
155	 940	A	  6	H	 6	  82.0	  84.0	      49.120	  32.8	  48.8	    1.810	    1.216	    2.897	  58.0	 1.382	     B	        
155	 940	A	  6	H	 7	  53.0	  55.0	      50.330	  34.1	  51.7	    1.795	    1.183	    2.937	  59.7	 1.482	     B	        
155	 940	A	  7	H	 2	  18.0	  20.0	      51.250	  32.4	  48.0	    1.810	    1.223	    2.867	  57.3	 1.344	     B	        
155	 940	A	  7	H	 3	  17.0	  19.0	      52.580	  33.3	  49.8	    1.807	    1.206	    2.920	  58.7	 1.421	     B	        
155	 940	A	  7	H	 4	  39.0	  41.0	      54.300	  31.6	  46.1	    1.833	    1.254	    2.884	  56.5	 1.300	     B	        
155	 940	A	  7	H	 5	  63.0	  65.0	      55.970	  30.9	  44.8	    1.856	    1.282	    2.917	  56.1	 1.276	     B	        
155	 940	A	  7	H	 6	  76.0	  78.0	      57.600	  29.7	  42.2	    1.891	    1.330	    2.942	  54.8	 1.212	     B	        
155	 940	A	  8	H	 1	  96.0	  98.0	      60.760	  30.2	  43.3	    1.884	    1.315	    2.958	  55.6	 1.250	     B	        
155	 940	A	  8	H	 2	  94.0	  96.0	      62.240	  30.3	  43.6	    1.876	    1.307	    2.943	  55.6	 1.252	     B	        
155	 940	A	  8	H	 3	  91.0	  93.0	      63.710	  30.8	  44.5	    1.848	    1.279	    2.881	  55.6	 1.253	     B	        
155	 940	A	  8	H	 4	  49.0	  51.0	      64.790	  30.8	  44.6	    1.868	    1.292	    2.952	  56.2	 1.285	     B	        
