Leg	Site	H	Cor	T	Sc	Top(cm)	 Depth (mbsf)	 Corr. Counts	 Total Counts

155	 940	A	  1	H	 1	  14.5	        0.145	             	       752.00
155	 940	A	  1	H	 1	  44.4	        0.444	             	       661.00
155	 940	A	  1	H	 1	  74.6	        0.746	             	       731.00
155	 940	A	  1	H	 1	 104.4	        1.044	             	       791.00
155	 940	A	  1	H	 1	 134.6	        1.346	             	       687.00
155	 940	A	  1	H	 2	  14.6	        1.646	             	       868.00
155	 940	A	  1	H	 2	  44.4	        1.944	             	       821.00
155	 940	A	  1	H	 2	  74.4	        2.244	             	       834.00
155	 940	A	  1	H	 2	 104.4	        2.544	             	       824.00
155	 940	A	  2	H	 1	  14.4	        2.944	             	       889.00
155	 940	A	  2	H	 1	  44.4	        3.244	             	       934.00
155	 940	A	  2	H	 1	  74.4	        3.544	             	       904.00
155	 940	A	  2	H	 1	 104.6	        3.846	             	       902.00
155	 940	A	  2	H	 1	 134.4	        4.144	             	       974.00
155	 940	A	  2	H	 2	  14.5	        4.445	             	       925.00
155	 940	A	  2	H	 2	  44.6	        4.746	             	       922.00
155	 940	A	  2	H	 2	  74.5	        5.045	             	       963.00
155	 940	A	  2	H	 2	 104.4	        5.344	             	       957.00
155	 940	A	  2	H	 2	 134.5	        5.645	             	       929.00
155	 940	A	  2	H	 3	  14.4	        5.944	             	       930.00
155	 940	A	  2	H	 3	  44.4	        6.244	             	       932.00
155	 940	A	  2	H	 3	  74.4	        6.544	             	       913.00
155	 940	A	  2	H	 3	 104.4	        6.844	             	       893.00
155	 940	A	  2	H	 3	 134.4	        7.144	             	       972.00
155	 940	A	  2	H	 4	  14.4	        7.444	             	       871.00
155	 940	A	  2	H	 4	  44.4	        7.744	             	      1011.00
155	 940	A	  2	H	 4	  74.4	        8.044	             	       942.00
155	 940	A	  2	H	 4	 104.6	        8.346	             	       958.00
155	 940	A	  2	H	 4	 134.5	        8.645	             	      1044.00
155	 940	A	  2	H	 5	  14.4	        8.944	             	       998.00
155	 940	A	  2	H	 5	  44.5	        9.245	             	      1031.00
155	 940	A	  2	H	 5	  74.4	        9.544	             	      1001.00
155	 940	A	  2	H	 5	 104.4	        9.844	             	       988.00
155	 940	A	  2	H	 5	 134.5	       10.145	             	      1029.00
155	 940	A	  2	H	 6	  14.5	       10.445	             	       967.00
155	 940	A	  2	H	 6	  44.4	       10.744	             	      1008.00
155	 940	A	  2	H	 6	  74.6	       11.046	             	      1036.00
155	 940	A	  2	H	 6	 104.4	       11.344	             	       989.00
155	 940	A	  2	H	 6	 134.4	       11.644	             	      1053.00
155	 940	A	  2	H	 7	  14.6	       11.946	             	      1030.00
155	 940	A	  2	H	 7	  44.5	       12.245	             	      1019.00
155	 940	A	  3	H	 1	  14.5	       12.445	             	       931.00
