Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Vel.(m/s)
155	 940	A	  1	H	 1	   5.00	       0.050	 1981.600
155	 940	A	  1	H	 1	   7.00	       0.070	 1984.100
155	 940	A	  1	H	 1	   9.50	       0.095	 1473.100
155	 940	A	  1	H	 1	  12.00	       0.120	 1502.300
155	 940	A	  1	H	 1	  14.50	       0.145	 1480.700
155	 940	A	  1	H	 1	  17.00	       0.170	 1489.600
155	 940	A	  1	H	 1	  22.00	       0.220	 1472.000
155	 940	A	  1	H	 1	  24.50	       0.245	 1470.200
155	 940	A	  1	H	 1	  27.00	       0.270	 1468.600
155	 940	A	  1	H	 1	  29.60	       0.296	 1470.300
155	 940	A	  1	H	 1	  32.00	       0.320	 1472.100
155	 940	A	  1	H	 1	  37.00	       0.370	 1472.100
155	 940	A	  1	H	 1	  39.50	       0.395	 1470.300
155	 940	A	  1	H	 1	  42.10	       0.421	 1470.300
155	 940	A	  1	H	 1	  44.70	       0.447	 1468.600
155	 940	A	  1	H	 1	  47.00	       0.470	 1468.600
155	 940	A	  1	H	 1	  52.10	       0.521	 1466.800
155	 940	A	  1	H	 1	  54.50	       0.545	 1466.800
155	 940	A	  1	H	 1	  57.00	       0.570	 1465.100
155	 940	A	  1	H	 1	  59.60	       0.596	 1463.400
155	 940	A	  1	H	 1	  62.00	       0.620	 1470.600
155	 940	A	  1	H	 1	  67.10	       0.671	 1467.100
155	 940	A	  1	H	 1	  69.60	       0.696	 1467.100
155	 940	A	  1	H	 1	  72.00	       0.720	 1467.200
155	 940	A	  1	H	 1	  74.60	       0.746	 1470.900
155	 940	A	  1	H	 1	  77.00	       0.770	 1470.900
155	 940	A	  1	H	 1	  79.50	       0.795	 1472.700
155	 940	A	  1	H	 1	  82.00	       0.820	 1472.700
155	 940	A	  1	H	 1	  84.50	       0.845	 1476.300
155	 940	A	  1	H	 1	  87.10	       0.871	 1476.300
155	 940	A	  1	H	 1	  89.50	       0.895	 1476.300
155	 940	A	  1	H	 1	  92.00	       0.920	 1478.100
155	 940	A	  1	H	 1	  94.50	       0.945	 1478.100
155	 940	A	  1	H	 1	  97.00	       0.970	 1478.100
155	 940	A	  1	H	 1	  99.50	       0.995	 1476.300
155	 940	A	  1	H	 1	 102.20	       1.022	 1478.100
155	 940	A	  1	H	 1	 104.50	       1.045	 1478.100
155	 940	A	  1	H	 1	 107.00	       1.070	 1479.800
155	 940	A	  1	H	 1	 109.50	       1.095	 1481.600
155	 940	A	  1	H	 1	 112.20	       1.122	 1481.600
155	 940	A	  1	H	 1	 114.50	       1.145	 1481.600
155	 940	A	  1	H	 1	 117.00	       1.170	 1479.700
155	 940	A	  1	H	 1	 119.60	       1.196	 1476.200
155	 940	A	  1	H	 1	 122.10	       1.221	 1479.700
155	 940	A	  1	H	 1	 124.60	       1.246	 1477.900
155	 940	A	  1	H	 1	 127.10	       1.271	 1476.100
155	 940	A	  1	H	 1	 129.70	       1.297	 1476.100
155	 940	A	  1	H	 1	 132.00	       1.320	 1474.300
155	 940	A	  1	H	 1	 134.50	       1.345	 1406.500
155	 940	A	  1	H	 1	 137.00	       1.370	 1492.700
155	 940	A	  1	H	 2	   5.10	       1.551	 2032.300
155	 940	A	  1	H	 2	   7.00	       1.570	 2050.100
