Leg	Site	H	Cor	T	Sc	Top(cm)	Bot(cm)	Depth (mbsf)	Shear_Strength	Max_Torque_Angle	Residual_Strength	Resi_Torque_Angle	Run_Num	Run_Date_Time	XYZ	Rotation_Rate	              Vane_ID	            Spring_ID	Raw_Data

155	 940	A	  1	H	 1	  68.00	  68.00	       0.680	         6.100	           27.40	            1.008	             4.50	   1309	    28-JAN-85	  X	           90	                    4	                    1	       N
155	 940	A	  1	H	 2	  90.00	  90.00	       2.400	         4.500	           20.40	            0.762	             3.40	   1310	    28-JAN-85	  X	           90	                    4	                    1	       N
155	 940	A	  2	H	 1	  60.00	  60.00	       3.400	         6.900	           30.90	            1.053	             4.70	   1311	    28-JAN-85	  X	           90	                    4	                    1	       N
155	 940	A	  2	H	 2	  80.00	  80.00	       5.100	         6.700	           30.20	            1.098	             4.90	   1312	    28-JAN-85	  X	           90	                    4	                    1	       N
155	 940	A	  2	H	 3	  95.00	  95.00	       6.750	         7.700	           34.50	            1.120	             5.00	   1313	    28-JAN-85	  X	           90	                    4	                    1	       N
155	 940	A	  2	H	 4	  78.00	  78.00	       8.080	         9.600	           42.90	            1.680	             7.50	   1314	    28-JAN-85	  X	           90	                    4	                    1	       N
155	 940	A	  2	H	 5	 111.00	 111.00	       9.910	        10.200	           45.70	            1.770	             7.90	   1315	    28-JAN-85	  X	           90	                    4	                    1	       N
155	 940	A	  2	H	 6	  80.00	  80.00	      11.100	        12.400	           55.50	            1.927	             8.60	   1316	    28-JAN-85	  X	           90	                    4	                    1	       N
155	 940	A	  2	H	 7	  10.00	  10.00	      11.900	        14.100	           63.30	            2.061	             9.20	   1317	    28-JAN-85	  X	           90	                    4	                    1	       N
155	 940	A	  3	H	 1	  72.00	  72.00	      13.020	        16.300	           73.10	            2.352	            10.50	   1318	    28-JAN-85	  X	           90	                    4	                    1	       N
155	 940	A	  3	H	 2	 118.00	 118.00	      14.980	        23.000	          102.70	            2.912	            13.00	   1319	    28-JAN-85	  X	           90	                    4	                    1	       N
155	 940	A	  3	H	 3	 143.00	 143.00	      16.730	        21.200	           52.70	            5.914	            14.70	   1707	    28-JAN-85	  X	           90	                    4	                    2	       N
155	 940	A	  3	H	 4	  41.00	  41.00	      17.210	        22.300	           55.50	            6.035	            15.00	   1708	    28-JAN-85	  X	           90	                    4	                    2	       N
155	 940	A	  3	H	 5	  16.00	  16.00	      18.460	        21.200	           52.70	            5.673	            14.10	   1709	    28-JAN-85	  X	           90	                    4	                    2	       N
155	 940	A	  3	H	 6	  68.00	  68.00	      20.480	        22.600	           56.20	            5.874	            14.60	   1710	    28-JAN-85	  X	           90	                    4	                    2	       N
155	 940	A	  4	H	 1	 117.00	 117.00	      22.970	        26.800	           66.80	            6.759	            16.80	   1711	    28-JAN-85	  X	           90	                    4	                    2	       N
155	 940	A	  4	H	 2	  88.00	  88.00	      24.180	        31.700	           78.80	            8.127	            20.20	   1712	    28-JAN-85	  X	           90	                    4	                    2	       N
155	 940	A	  4	H	 3	  39.00	  39.00	      25.190	        26.000	           64.70	            6.679	            16.60	   1713	    28-JAN-85	  X	           90	                    4	                    2	       N
155	 940	A	  4	H	 4	  68.00	  68.00	      26.980	        27.100	           67.50	            5.995	            14.90	   1714	    28-JAN-85	  X	           90	                    4	                    2	       N
155	 940	A	  4	H	 5	  77.00	  77.00	      28.570	        21.700	           54.10	            5.150	            12.80	   1715	    28-JAN-85	  X	           90	                    4	                    2	       N
155	 940	A	  4	H	 6	  85.00	  85.00	      30.150	        22.600	           56.20	            5.472	            13.60	   1716	    28-JAN-85	  X	           90	                    4	                    2	       N
155	 940	A	  4	H	 7	  44.00	  44.00	      31.240	        21.400	           53.40	            5.593	            13.90	   1717	    28-JAN-85	  X	           90	                    4	                    2	       N
155	 940	A	  5	H	 1	  97.00	  97.00	      32.270	        19.700	           49.20	            5.472	            13.60	   1718	    28-JAN-85	  X	           90	                    4	                    2	       N
155	 940	A	  5	H	 2	  88.00	  88.00	      33.480	        22.000	           54.80	            5.753	            14.30	   1719	    28-JAN-85	  X	           90	                    4	                    2	       N
155	 940	A	  5	H	 3	  20.00	  20.00	      34.300	        23.700	           59.10	            6.357	            15.80	   1720	    28-JAN-85	  X	           90	                    4	                    2	       N
155	 940	A	  5	H	 4	  10.00	  10.00	      35.240	        24.900	           61.90	            6.115	            15.20	   1721	    28-JAN-85	  X	           90	                    4	                    2	       N
155	 940	A	  5	H	 5	  59.00	  59.00	      36.530	        27.100	           67.50	            7.081	            17.60	   1722	    28-JAN-85	  X	           90	                    4	                    2	       N
155	 940	A	  5	H	 6	  48.00	  48.00	      37.210	        16.900	           42.20	            4.627	            11.50	   1723	    28-JAN-85	  X	           90	                    4	                    2	       N
155	 940	A	  5	H	 7	  81.00	  81.00	      39.010	        20.600	           51.30	            5.633	            14.00	   1724	    28-JAN-85	  X	           90	                    4	                    2	       N
155	 940	A	  6	H	 1	  68.00	  68.00	      41.480	        30.800	           76.60	            7.242	            18.00	   1725	    28-JAN-85	  X	           90	                    4	                    2	       N
155	 940	A	  6	H	 2	  73.00	  73.00	      43.030	        28.200	           70.30	            7.242	            18.00	   1726	    28-JAN-85	  X	           90	                    4	                    2	       N
155	 940	A	  6	H	 3	  74.00	  74.00	      44.540	        37.000	           92.10	            8.288	            20.60	   1727	    28-JAN-85	  X	           90	                    4	                    2	       N
155	 940	A	  6	H	 4	  88.00	  88.00	      46.180	        31.700	           78.80	            7.001	            17.40	   1728	    28-JAN-85	  X	           90	                    4	                    2	       N
155	 940	A	  6	H	 5	  83.00	  83.00	      47.630	        29.900	           74.50	            7.202	            17.90	   1729	    28-JAN-85	  X	           90	                    4	                    2	       N
155	 940	A	  6	H	 6	  83.00	  83.00	      49.130	        20.600	           51.30	            4.345	            10.80	   1730	    28-JAN-85	  X	           90	                    4	                    2	       N
155	 940	A	  6	H	 7	  54.00	  54.00	      50.340	        21.700	           54.10	            4.345	            10.80	   1731	    28-JAN-85	  X	           90	                    4	                    2	       N
155	 940	A	  7	H	 2	  19.00	  19.00	      51.260	        38.000	           52.00	           18.215	            24.90	   2067	    28-JAN-85	  X	           90	                    4	                    3	       N
155	 940	A	  7	H	 3	  18.00	  18.00	      52.590	        46.800	           64.00	           19.166	            26.20	   2068	    28-JAN-85	  X	           90	                    4	                    3	       N
