#HOLE:,940A
#LEG:,155
#TOP:,83.362801
#BOTTOM:,231.952805
DEPTH_WMSF,C1,C2
m,in,in
83.3628,3.7825,3.6961
83.5152,3.7934,3.6961
83.6676,3.8165,3.7019
83.8200,3.8136,3.7221
83.9724,3.8182,3.7258
84.1248,3.8803,3.7510
84.2772,4.0809,3.9745
84.4296,4.4143,4.3105
84.5820,4.7179,4.5960
84.7344,4.9342,4.7913
84.8868,5.2023,5.0380
85.0392,5.4658,5.2680
85.1916,5.7178,5.5185
85.3440,6.0937,5.9036
85.4964,6.4667,6.2878
85.6488,6.8754,6.7146
85.8012,7.2787,7.1331
85.9536,7.9323,7.7492
86.1060,8.4651,8.3130
86.2584,9.0249,8.8519
86.4108,9.5858,9.4306
86.5632,10.1274,9.9416
86.7156,10.5839,10.4189
86.8680,11.0946,10.9057
87.0204,11.6000,11.4025
87.1728,11.9574,11.7848
87.3252,12.2073,12.0363
87.4776,12.6035,12.2648
87.6300,12.6098,12.2648
87.7824,12.6440,12.2836
87.9348,12.6774,12.2995
88.0872,12.7070,12.2995
88.2396,12.7303,12.3683
88.3920,12.8299,12.4558
88.5444,12.8668,12.5052
88.6968,12.8645,12.4981
88.8492,12.8653,12.4716
89.0016,12.9108,12.4746
89.1540,13.0350,12.5620
89.3064,13.0438,12.5613
89.4588,13.0481,12.5460
89.6112,13.0164,12.4652
89.7636,13.0940,13.4788
89.9160,13.0940,14.0365
90.0684,13.1391,14.1228
90.2208,13.1591,14.1223
90.3732,13.1839,14.1438
90.5256,13.2334,14.1652
90.6780,13.2118,14.0671
90.8304,13.2311,14.0856
90.9828,13.2285,14.0371
91.1352,13.2985,13.9904
91.2876,13.3170,13.8059
91.4400,13.3193,13.7813
91.5924,13.3201,12.9329
91.7448,13.3356,11.3300
91.8972,13.3369,11.5060
92.0496,13.3387,11.6474
92.2020,13.3356,11.6474
92.3544,13.3356,11.7919
92.5068,13.3201,11.6914
92.6592,13.2520,11.6270
92.8116,13.2118,11.7134
92.9640,13.2118,11.6631
93.1164,13.2056,11.5406
