#HOLE:,940A
#LEG:,155
#TOP:,62.331600
#BOTTOM:,231.800400
DEPTH_WMSF,C1,C2
m,in,in
62.3316,3.6115,3.5145
62.4840,3.6115,3.5145
62.6364,3.6115,3.5145
62.7888,3.6115,3.5188
62.9412,3.6115,3.5145
63.0936,3.6115,3.5145
63.2460,3.6115,3.5145
63.3984,3.6115,3.5145
63.5508,3.6115,3.5145
63.7032,3.6115,3.5145
63.8556,3.6115,3.5145
64.0080,3.6115,3.5145
64.1604,3.6115,3.5145
64.3128,3.6115,3.5188
64.4652,3.6115,3.5145
64.6176,3.6115,3.5145
64.7700,3.6140,3.5156
64.9224,3.6115,3.5145
65.0748,3.6115,3.5145
65.2272,3.6115,3.5145
65.3796,3.6115,3.5145
65.5320,3.6029,3.5145
65.6844,3.6029,3.5145
65.8368,3.6029,3.5145
65.9892,3.6029,3.5145
66.1416,3.6053,3.5156
66.2940,3.6029,3.5145
66.4464,3.6029,3.4929
66.5988,3.6029,3.4886
66.7512,3.6053,3.4854
66.9036,3.6053,3.4854
67.0560,3.6029,3.4800
67.2084,3.6029,3.4800
67.3608,3.6029,3.4800
67.5132,3.6029,3.4800
67.6656,3.6053,3.4811
67.8180,3.6029,3.4800
67.9704,3.6029,3.4800
68.1228,3.6029,3.4800
68.2752,3.6029,3.4800
68.4276,3.6029,3.4843
68.5800,3.6029,3.4886
68.7324,3.6029,3.4800
68.8848,3.6053,3.4811
69.0372,3.6029,3.4800
69.1896,3.6029,3.4800
69.3420,3.6029,3.4800
69.4944,3.6029,3.4800
69.6468,3.6029,3.4800
69.7992,3.6072,3.4800
69.9516,3.6029,3.4800
70.1040,3.6029,3.4800
70.2564,3.6029,3.4843
70.4088,3.6029,3.4886
70.5612,3.6072,3.4843
70.7136,3.6072,3.4800
70.8660,3.6029,3.4886
71.0184,3.6029,3.4843
71.1708,3.6029,3.4843
71.3232,3.6029,3.4886
71.4756,3.6461,3.5360
71.6280,3.7760,3.6311
71.7804,3.8368,3.7134
71.9328,4.0284,3.9178
72.0852,4.5644,4.4353
72.2376,4.7682,4.6122
72.3900,4.9550,4.7853
72.5424,5.1336,4.9680
72.6948,5.3309,5.1693
72.8472,5.5198,5.3489
72.9996,5.7366,5.5563
73.1520,5.9724,5.8052
73.3044,6.2319,6.0689
73.4568,6.5200,6.3383
73.6092,6.8324,6.6273
73.7616,7.1594,6.9755
73.9140,7.4656,7.2782
74.0664,7.8329,7.6638
74.2188,8.1968,8.0323
74.3712,8.5900,8.4114
74.5236,8.9044,8.7352
74.6760,9.2335,9.0503
74.8284,9.5302,9.3329
74.9808,9.7941,9.6017
75.1332,10.0299,9.8141
75.2856,10.3177,10.1163
75.4380,10.4364,10.2244
75.5904,10.6102,10.4139
75.7428,10.7942,10.6076
75.8952,11.0395,10.8485
76.0476,11.0300,10.9713
76.2000,10.9131,11.4242
76.3524,10.9687,11.9236
76.5048,11.0169,12.3748
76.6572,11.0112,12.8052
76.8096,11.0819,13.2760
76.9620,11.1432,13.7397
77.1144,11.1432,14.1545
77.2668,11.1432,14.1545
77.4192,11.1432,14.1361
77.5716,11.1432,14.1545
77.7240,11.1432,14.1683
77.8764,11.1432,14.0579
78.0288,11.0877,13.8468
78.1812,11.1432,13.9290
78.3336,11.1432,14.1223
78.4860,11.1490,14.1279
78.6384,11.1432,14.0211
78.7908,11.1479,14.0165
78.9432,11.1055,13.9013
79.0956,11.0866,13.7813
79.2480,11.0725,14.0856
79.4004,11.0442,14.3976
79.5528,11.0395,14.4617
79.7052,11.0489,14.4617
79.8576,11.0442,14.4571
80.0100,11.0347,14.4525
80.1624,11.0300,14.4342
80.3148,11.0442,14.4434
80.4672,11.1243,14.3656
80.6196,11.1997,14.3793
80.7720,11.2233,14.3793
80.9244,11.2186,14.3884
81.0768,11.2186,14.3976
81.2292,11.2186,14.3884
81.3816,11.2352,14.1939
81.5340,11.3670,13.9825
81.6864,11.4047,14.1204
81.8388,11.3882,14.0856
81.9912,11.3882,14.0856
82.1436,11.3800,14.0727
82.2960,11.3741,14.0671
82.4484,11.3882,14.1223
82.6008,11.3741,14.1223
82.7532,11.3741,14.1223
82.9056,11.3788,14.1223
83.0580,11.3470,14.0727
83.2104,11.2657,13.7813
83.3628,11.2422,13.9889
83.5152,11.2374,13.9797
83.6676,11.2374,13.9751
83.8200,11.2374,13.9474
83.9724,11.2374,13.9889
84.1248,11.2045,13.8321
84.2772,11.2374,14.0717
84.4296,11.2422,14.1039
84.5820,11.2374,14.1039
84.7344,11.2233,14.0441
84.8868,11.2186,14.0303
85.0392,11.2092,13.9843
85.1916,11.2186,14.0303
85.3440,11.1903,13.9013
85.4964,11.1950,13.9151
85.6488,11.2233,13.8228
85.8012,11.2008,13.9621
85.9536,11.2233,13.9935
86.1060,11.1903,13.9658
86.2584,11.2940,14.0119
86.4108,11.3128,14.0073
86.5632,11.3128,14.0119
86.7156,11.2657,13.9658
86.8680,11.2657,13.9566
87.0204,11.2704,13.9290
87.1728,11.2657,13.7720
87.3252,11.2704,13.8828
87.4776,11.2940,13.8644
87.6300,11.2940,13.7720
87.7824,11.2893,13.7535
87.9348,11.2751,13.7720
88.0872,11.2374,13.7073
88.2396,11.2893,13.7443
88.3920,11.4212,13.7073
88.5444,11.4824,13.7073
88.6968,11.5154,13.7258
88.8492,11.5483,13.7813
89.0016,11.5552,13.7796
89.1540,11.5741,13.7796
89.3064,11.6236,13.8090
89.4588,11.6895,13.9244
89.6112,11.7224,14.3335
89.7636,11.7647,14.5211
89.9160,11.7553,14.5165
90.0684,11.7506,14.5028
90.2208,11.7553,14.5074
90.3732,11.7553,14.5896
90.5256,11.6660,14.5622
90.6780,11.6484,14.6363
90.8304,11.6424,14.7627
90.9828,11.6377,14.7627
91.1352,11.6236,14.7445
91.2876,11.6142,14.7445
91.4400,11.6377,14.7354
