#HOLE:,940A
#LEG:,155
#TOP:,77.419197
#BOTTOM:,227.076004
DEPTH_WMSF,CALI
m,in
77.4192,16.6110
77.5716,15.3038
77.7240,14.7849
77.8764,14.8379
78.0288,15.8107
78.1812,15.9550
78.3336,15.0432
78.4860,15.6917
78.6384,15.8140
78.7908,14.8849
78.9432,15.1953
79.0956,15.2816
79.2480,15.2908
79.4004,15.3011
79.5528,15.3033
79.7052,15.3055
79.8576,15.2923
80.0100,15.3050
80.1624,15.3250
80.3148,15.3351
80.4672,15.2788
80.6196,15.3132
80.7720,15.3200
80.9244,15.2290
81.0768,15.1502
81.2292,14.9722
81.3816,15.0411
81.5340,15.2039
81.6864,15.1388
81.8388,15.1535
81.9912,15.1942
82.1436,14.9941
82.2960,14.9646
82.4484,14.9750
82.6008,14.9967
82.7532,15.2007
82.9056,15.5758
83.0580,15.2587
83.2104,14.8947
83.3628,14.9084
83.5152,14.9511
83.6676,14.9643
83.8200,14.9711
83.9724,14.9370
84.1248,14.9403
84.2772,14.9240
84.4296,14.9335
84.5820,14.9407
84.7344,14.9314
84.8868,14.9309
85.0392,15.0443
85.1916,15.3847
85.3440,15.2230
85.4964,15.0027
85.6488,14.8441
85.8012,14.8231
85.9536,14.9309
86.1060,15.4379
86.2584,15.4473
86.4108,15.3967
86.5632,14.9188
86.7156,14.8553
86.8680,14.8640
87.0204,14.8925
87.1728,14.8677
87.3252,14.9683
87.4776,15.3435
87.6300,15.2528
87.7824,14.9294
87.9348,14.9114
88.0872,14.9516
88.2396,15.0210
88.3920,15.0330
88.5444,15.1650
88.6968,15.4332
88.8492,15.3691
89.0016,15.2397
89.1540,15.1768
89.3064,15.2225
89.4588,15.2491
89.6112,15.2337
89.7636,15.2463
89.9160,15.2344
90.0684,15.2354
90.2208,15.1963
90.3732,15.1969
90.5256,15.2278
90.6780,15.2474
90.8304,15.2517
90.9828,15.2680
91.1352,15.2528
91.2876,15.2637
91.4400,15.2701
91.5924,15.2598
91.7448,15.2002
91.8972,15.1844
92.0496,15.1630
92.2020,15.1757
92.3544,15.1988
92.5068,15.1980
92.6592,15.0480
92.8116,14.7084
92.9640,14.4722
93.1164,14.4923
93.2688,14.4900
93.4212,14.4934
93.5736,14.4902
93.7260,14.4850
93.8784,14.4921
94.0308,14.4949
94.1832,14.5023
94.3356,14.8137
94.4880,14.8817
94.6404,14.8846
94.7928,14.4986
94.9452,14.3732
95.0976,14.4067
95.2500,14.4276
95.4024,14.3977
95.5548,14.3918
95.7072,15.0410
95.8596,15.2979
96.0120,15.2036
96.1644,14.4446
96.3168,14.7007
96.4692,15.3641
96.6216,15.3274
96.7740,14.5987
96.9264,14.3895
97.0788,14.3968
