#HOLE:,940A
#LEG:,155
#TOP:,0.000000
#BOTTOM:,218.998795
DEPTH_WMSF,NPHI,ENPH,CNTC,CFTC,CNEC,CFEC,TNRA,ENRA
m,%,%,cps,cps,cps,cps,--,--
0.0000,81.3009,146.3418,653.9293,107.8786,2051.6997,198.0246,6.4812,10.3608
0.1524,74.7364,138.0708,645.2862,103.0777,2033.9321,203.2972,6.0526,10.0047
0.3048,75.7073,133.6931,653.3460,109.1540,2032.2178,206.8486,6.1160,9.8247
0.4572,79.2577,127.8834,657.5684,109.1540,2039.8965,212.6640,6.3478,9.5921
0.6096,90.8659,126.0743,663.5049,109.1540,2029.8986,213.2049,7.1058,9.5209
0.7620,89.1184,136.5237,663.8718,99.2856,2046.4565,205.8699,6.9916,9.9405
0.9144,88.8299,146.1191,668.1575,99.2659,2064.9897,199.4985,6.9728,10.3509
1.0668,79.8363,135.2008,669.4930,97.6627,2058.5273,208.2235,6.3856,9.8861
1.2192,80.9169,120.3306,661.1244,104.2409,2057.5400,221.2992,6.4561,9.2976
1.3716,79.4302,115.1521,650.8313,102.6535,2068.3945,227.3234,6.3590,9.0989
1.5240,82.9806,123.0961,654.2402,105.4355,2069.1577,220.0154,6.5909,9.4046
1.6764,88.7346,121.9588,662.8179,104.2197,2045.4851,218.5235,6.9666,9.3605
1.8288,88.4421,130.9760,664.7400,99.4917,2064.4543,212.4993,6.9475,9.7151
1.9812,83.6953,130.6277,678.0017,101.1543,2061.4927,212.4993,6.6375,9.7012
2.1336,80.5499,130.4065,685.1726,105.5995,2056.2261,212.1498,6.4322,9.6923
2.2860,82.6023,121.8809,694.3544,111.9543,2058.0449,219.9362,6.5662,9.3575
2.4384,83.4380,119.3037,755.6790,123.4938,2077.2583,224.3745,6.6207,9.2580
2.5908,81.3643,134.8318,763.1895,123.7903,2215.2024,224.4140,6.4853,9.8711
2.7432,74.9324,164.3596,768.5278,126.7642,2475.5093,219.5257,6.0654,11.2766
2.8956,67.2987,119.0980,834.7410,137.8561,2543.1289,274.9304,5.5669,9.2501
3.0480,66.9542,75.9193,858.7611,160.1471,2746.5920,362.6204,5.5444,7.5743
3.2004,64.5253,64.6293,852.2839,173.2817,2994.6821,422.7877,5.3858,7.0832
3.3528,74.0521,62.6799,886.7625,170.0419,3136.6667,448.5609,6.0079,6.9927
3.5052,76.3699,61.8005,945.6993,162.3017,3120.1951,448.8705,6.1592,6.9512
3.6576,75.3528,55.9302,919.8683,154.1644,3312.0178,497.2781,6.0928,6.6603
3.8100,69.2410,55.3634,923.1349,155.7241,3356.9863,506.2802,5.6937,6.6307
3.9624,68.7590,52.9203,904.3783,157.3411,3365.4546,517.8185,5.6623,6.4993
4.1148,68.9341,55.9523,909.0381,158.9498,3340.3679,501.4485,5.6737,6.6614
4.2672,71.7381,59.9090,867.4730,155.8569,3342.4629,487.2209,5.8568,6.8603
4.4196,69.5746,66.3781,854.0302,147.6820,3311.1387,462.2789,5.7155,7.1626
4.5720,67.5187,69.7035,836.8231,144.3905,3267.9248,447.0538,5.5813,7.3099
4.7244,65.5840,74.6171,819.9723,146.2756,3276.4485,435.7029,5.4549,7.5199
4.8768,64.6895,73.8506,808.5964,151.0597,3253.1831,434.4718,5.3965,7.4877
5.0292,71.2043,69.5393,817.1271,157.4626,3251.4539,445.2369,5.8219,7.3028
5.1816,74.4301,66.4691,830.4222,150.8785,3280.4561,457.7336,6.0326,7.1667
5.3340,78.9003,65.8931,867.5606,152.4147,3370.2346,471.9718,6.3244,7.1408
5.4864,74.9679,65.9467,916.4899,154.0044,3416.1687,478.2420,6.0677,7.1432
5.6388,68.7408,58.7605,943.1785,167.2426,3514.0396,516.4797,5.6611,6.8038
5.7912,62.4235,52.8375,962.7267,179.8918,3581.0232,551.3745,5.2486,6.4947
5.9436,61.4075,48.8572,986.9766,190.0153,3654.4456,583.4275,5.1822,6.2638
6.0960,61.9757,47.6960,994.0978,194.2072,3694.0020,596.6332,5.2193,6.1914
6.2484,62.6989,47.2201,985.2420,194.2409,3724.0066,604.4510,5.2666,6.1610
