#HOLE:,940A
#LEG:,155
#TOP:,75.895203
#BOTTOM:,235.000793
DEPTH_WMSF,IDPH,IMPH,SFLU
m,ohmm,ohmm,ohmm
75.8952,1.1037,1.3833,1.2877
76.0476,1.1448,1.3633,1.2916
76.2000,1.1941,1.3378,1.3027
76.3524,1.2312,1.3243,1.2966
76.5048,1.2464,1.3270,1.2967
76.6572,1.2597,1.3477,1.3005
76.8096,1.2671,1.3748,1.3002
76.9620,1.2638,1.3893,1.2854
77.1144,1.2584,1.3919,1.3014
77.2668,1.2603,1.3945,1.3204
77.4192,1.2722,1.3997,1.3091
77.5716,1.2808,1.4055,1.3161
77.7240,1.2826,1.4097,1.3190
77.8764,1.2989,1.4092,1.3199
78.0288,1.3113,1.4054,1.3190
78.1812,1.3178,1.4020,1.3204
78.3336,1.3154,1.3961,1.3009
78.4860,1.2935,1.3827,1.2503
78.6384,1.2770,1.3623,1.2424
78.7908,1.2695,1.3408,1.2424
78.9432,1.2699,1.3259,1.2586
79.0956,1.2732,1.3223,1.2866
79.2480,1.2782,1.3277,1.2531
79.4004,1.2745,1.3361,1.2660
79.5528,1.2764,1.3440,1.2657
79.7052,1.2814,1.3505,1.2781
79.8576,1.2908,1.3555,1.2661
80.0100,1.2986,1.3584,1.2607
80.1624,1.2997,1.3584,1.2617
80.3148,1.3002,1.3551,1.2665
80.4672,1.3024,1.3506,1.3000
80.6196,1.3032,1.3474,1.2954
80.7720,1.3047,1.3462,1.2984
80.9244,1.3062,1.3455,1.2831
81.0768,1.3078,1.3445,1.2847
81.2292,1.3084,1.3428,1.2858
81.3816,1.3036,1.3403,1.2547
81.5340,1.3027,1.3372,1.2594
81.6864,1.3041,1.3339,1.2566
81.8388,1.3042,1.3311,1.2634
81.9912,1.3052,1.3294,1.2686
82.1436,1.3082,1.3294,1.2682
82.2960,1.3084,1.3307,1.2660
82.4484,1.3127,1.3323,1.2584
82.6008,1.3157,1.3339,1.2544
82.7532,1.3146,1.3351,1.2593
82.9056,1.3160,1.3355,1.2625
83.0580,1.3176,1.3350,1.2659
83.2104,1.3203,1.3348,1.2599
83.3628,1.3265,1.3373,1.2805
83.5152,1.3257,1.3436,1.2895
83.6676,1.3283,1.3517,1.2727
83.8200,1.3372,1.3572,1.2318
83.9724,1.3436,1.3571,1.2468
84.1248,1.3448,1.3532,1.2820
84.2772,1.3429,1.3502,1.2821
84.4296,1.3464,1.3516,1.2837
84.5820,1.3542,1.3568,1.2852
84.7344,1.3577,1.3629,1.2894
84.8868,1.3596,1.3675,1.2889
85.0392,1.3593,1.3700,1.2888
85.1916,1.3618,1.3706,1.2971
85.3440,1.3718,1.3700,1.2918
85.4964,1.3794,1.3698,1.2800
85.6488,1.3768,1.3718,1.2845
85.8012,1.3796,1.3759,1.2796
85.9536,1.3846,1.3808,1.2774
