#HOLE:,940A
#LEG:,155
#TOP:,83.362801
#BOTTOM:,231.952805
DEPTH_WMSF,FX,FY,FZ,FNOR,DEVI,FINC,RB,P1AZ,HAZI
m,oer,oer,oer,oer,deg,deg,deg,deg,deg,,
83.3628,-0.1734,0.2457,0.1102,0.3184,4.1848,23.0429,38.7485,213.0152,174.1921
83.5152,-0.1719,0.2466,0.1098,0.3184,4.1848,23.0429,38.7485,213.0152,174.1921
83.6676,-0.1852,0.2373,0.1079,0.3184,4.1848,23.0429,38.7485,213.0152,174.1921
83.8200,-0.2064,0.2187,0.1069,0.3184,4.1848,23.0429,38.7485,213.0152,174.1921
83.9724,-0.2104,0.2149,0.1067,0.3184,4.1848,23.0429,38.7485,213.0152,174.1921
84.1248,-0.2072,0.2184,0.1054,0.3184,4.1848,23.0429,38.7485,213.0152,174.1921
84.2772,-0.2138,0.2117,0.1051,0.3184,4.1848,23.0429,38.7485,213.0152,174.1921
84.4296,-0.2016,0.2237,0.1044,0.3184,4.1848,23.0429,38.7485,213.0152,174.1921
84.5820,-0.1789,0.2423,0.1021,0.3184,4.1848,23.0429,38.7485,213.0152,174.1921
84.7344,-0.1606,0.2550,0.1017,0.3181,4.2190,22.9334,43.2428,217.5583,174.2379
84.8868,-0.1482,0.2624,0.1011,0.3179,4.2483,22.8203,46.6532,221.0087,174.2769
85.0392,-0.1557,0.2582,0.1003,0.3176,4.2710,22.7210,46.8474,221.1847,174.2579
85.1916,-0.1524,0.2596,0.1005,0.3174,4.2995,22.6187,44.6425,219.0772,174.3540
85.3440,-0.0927,0.2868,0.0983,0.3173,4.3383,22.5129,59.0378,233.5763,174.4660
85.4964,-0.2263,0.1995,0.0984,0.3171,4.3709,22.4064,37.5935,212.2443,174.5701
85.6488,-0.3001,-0.0148,0.0983,0.3170,4.4165,22.3308,3.2374,177.9450,174.6980
85.8012,-0.2930,-0.0683,0.0969,0.3169,4.4519,22.2509,333.6879,148.4725,174.8535
85.9536,-0.2995,-0.0279,0.0960,0.3168,4.4793,22.1724,338.6135,153.5570,175.0031
86.1060,-0.3000,-0.0239,0.0964,0.3167,4.5190,22.0905,341.1796,156.3086,175.1835
86.2584,-0.2045,-0.2207,0.0963,0.3166,4.5598,22.0074,320.5833,135.8722,175.3780
86.4108,-0.1700,-0.2498,0.0940,0.3166,4.6027,21.9335,290.4988,106.0066,175.5685
86.5632,-0.1591,-0.2568,0.0930,0.3165,4.6363,21.8407,288.6747,104.4002,175.7824
86.7156,-0.0985,-0.2862,0.0935,0.3165,4.6690,21.7604,277.2781,93.1501,175.8958
86.8680,-0.0843,-0.2904,0.0942,0.3164,4.7229,21.7121,271.3521,87.4915,176.1440
87.0204,-0.0865,-0.2904,0.0941,0.3164,4.7577,21.6403,271.3476,87.6858,176.3429
87.1728,-0.0405,-0.3002,0.0921,0.3164,4.8045,21.5943,267.0114,83.5316,176.5097
87.3252,0.0200,-0.3029,0.0907,0.3164,4.8394,21.5393,253.5835,70.2997,176.6608
87.4776,0.0370,-0.3014,0.0901,0.3163,4.8747,21.4799,248.2455,65.1214,176.8046
87.6300,0.0450,-0.3002,0.0898,0.3163,4.9053,21.4129,246.1184,63.1808,176.9847
87.7824,0.0493,-0.2996,0.0892,0.3163,4.9377,21.3709,245.2392,62.3816,177.0615
87.9348,0.0511,-0.2992,0.0894,0.3162,4.9648,21.3340,244.5117,61.7238,177.1285
88.0872,0.0501,-0.2995,0.0896,0.3161,4.9850,21.2920,244.5341,61.8015,177.1832
88.2396,0.0490,-0.2995,0.0896,0.3160,5.0035,21.2442,244.7919,62.0798,177.2038
88.3920,0.0486,-0.2993,0.0894,0.3158,5.0182,21.1915,244.8646,62.1820,177.2329
88.5444,0.0490,-0.2988,0.0882,0.3157,5.0304,21.1463,244.7765,62.1051,177.2435
88.6968,0.0474,-0.2989,0.0878,0.3156,5.0371,21.1108,244.8441,62.1726,177.2433
88.8492,0.0454,-0.2995,0.0882,0.3155,5.0392,21.0782,245.4709,62.7762,177.2217
89.0016,0.0450,-0.2990,0.0877,0.3154,5.0297,21.0397,245.5047,62.7928,177.2048
89.1540,0.0452,-0.2991,0.0872,0.3153,5.0224,21.0113,245.5804,62.8418,177.1785
89.3064,0.0451,-0.2990,0.0874,0.3152,5.0121,20.9792,245.5110,62.7524,177.1587
89.4588,0.0379,-0.3002,0.0876,0.3151,4.9992,20.9403,246.2792,63.5089,177.1494
89.6112,0.0354,-0.3004,0.0876,0.3150,4.9937,20.9061,247.1966,64.4277,177.1534
89.7636,0.0348,-0.3005,0.0868,0.3149,4.9865,20.8705,247.4982,64.7374,177.1625
89.9160,0.0348,-0.3005,0.0865,0.3148,4.9782,20.8434,247.4778,64.7412,177.1868
90.0684,0.0313,-0.3008,0.0867,0.3148,4.9657,20.8149,247.6854,64.9751,177.2141
90.2208,0.0246,-0.3015,0.0870,0.3147,4.9639,20.7930,249.1180,66.4362,177.2466
90.3732,0.0276,-0.3012,0.0869,0.3147,4.9589,20.7657,249.0131,66.3530,177.2681
90.5256,0.0291,-0.3011,0.0868,0.3147,4.9504,20.7408,248.5225,65.9105,177.3151
90.6780,0.0287,-0.3010,0.0865,0.3146,4.9421,20.7142,248.4618,65.8990,177.3645
90.8304,0.0275,-0.3014,0.0865,0.3146,4.9447,20.6984,248.5198,65.9599,177.3674
90.9828,0.0268,-0.3014,0.0866,0.3146,4.9442,20.6751,249.0290,66.4999,177.3997
