#HOLE:,940A
#LEG:,155
#TOP:,62.179199
#BOTTOM:,231.800400
DEPTH_WMSF,FX,FY,FZ,FNOR,DEVI,FINC,RB,P1AZ,HAZI
m,oer,oer,oer,oer,deg,deg,deg,deg,deg
62.1792,-999.2500,-999.2500,-999.2500,0.6970,0.1767,17.2991,149.6436,176.5432,26.8992
62.3316,-0.2939,0.0440,0.3957,0.6970,0.1767,17.2991,149.6436,176.5432,26.8992
62.4840,-0.2944,0.0414,0.3933,0.6970,0.1767,17.2991,149.6436,176.5432,26.8992
62.6364,-0.2772,-0.0893,0.5639,0.6970,0.1767,17.2991,149.6436,176.5432,26.8992
62.7888,-0.0468,-0.0883,1.1872,0.6970,0.1767,17.2991,149.6436,176.5432,26.8992
62.9412,0.0633,0.0824,-1.1624,0.6970,0.1767,17.2991,149.6436,176.5432,26.8992
63.0936,-0.1040,0.2630,-1.1629,0.6970,0.1767,17.2991,149.6436,176.5432,26.8992
63.2460,-0.0985,0.2353,-1.1629,0.6970,0.1767,17.2991,149.6436,176.5432,26.8992
63.3984,-0.0865,0.2141,-1.1628,0.6970,0.1767,17.2991,149.6436,176.5432,26.8992
63.5508,-0.6577,-0.6393,0.4542,0.6970,0.1767,17.2991,149.6436,176.5432,26.8992
63.7032,-0.0498,0.0560,1.1869,0.7445,0.2192,19.9051,215.9514,241.4837,25.5322
63.8556,-0.9265,0.9369,0.9657,0.7474,0.7031,18.1577,38.6813,42.0095,3.3262
64.0080,-1.0226,1.2038,-0.0635,0.7189,1.1956,10.8407,207.2670,210.3892,3.1171
64.1604,0.3201,-0.1000,1.1874,0.7066,1.6894,0.3335,183.7282,189.8417,6.1119
64.3128,1.1321,0.8624,1.0791,0.7100,2.0037,-0.6591,310.7773,311.0634,0.3034
64.4652,0.8641,0.7628,1.1861,0.7051,2.0037,-0.3385,299.0967,299.6951,0.6133
64.6176,1.0649,1.0122,0.5790,0.7002,1.9999,0.0039,296.4426,298.4267,1.9980
64.7700,-0.6030,-1.1554,0.3404,0.7082,1.8909,0.4555,97.2361,104.1345,6.9023
64.9224,0.0124,-0.1558,1.1873,0.6847,1.4475,0.1686,25.8535,33.3812,7.5205
65.0748,-0.2331,-0.3610,-1.1056,0.6711,1.5347,-4.3852,148.1220,146.2628,358.1500
65.2272,-0.2849,-0.0858,-1.0985,0.6702,1.2962,-15.2472,129.7052,133.7767,4.0787
65.3796,-0.1725,-0.1321,-1.0983,0.6350,1.4487,-22.3033,126.7412,137.5119,10.7794
65.5320,-0.0942,-0.1145,-1.0983,0.6262,1.7350,-27.7732,97.2133,112.8071,15.5971
65.6844,-0.1232,-0.1313,-1.0983,0.5756,1.7391,-32.1708,96.1650,112.2636,16.1014
65.8368,-0.1720,-0.1536,-1.0983,0.5524,1.7480,-38.9128,100.1259,116.7941,16.6727
65.9892,-0.3236,-0.1208,-1.0985,0.5520,1.7453,-47.2285,109.2608,138.6666,29.4141
66.1416,-0.0951,-0.0329,-0.4121,0.5922,1.6216,-53.9583,177.2414,207.3213,30.0809
66.2940,-0.1835,0.3726,-0.1909,0.6215,1.6965,-55.6726,168.4018,197.5545,29.1578
66.4464,0.3320,0.0211,-1.1889,0.6912,1.4765,-55.7947,246.7050,272.1895,25.4777
66.5988,-0.6536,0.2768,-1.0398,0.7206,1.2171,-50.6411,195.2486,211.0558,15.8038
66.7512,-0.1620,-0.2293,0.3854,0.7082,0.8298,-45.6518,135.7327,141.5294,5.7999
66.9036,0.1615,-0.1153,0.4684,0.6713,0.4826,-33.2963,7.1412,38.9155,31.7740
67.0560,0.0814,-0.2074,0.4714,0.6653,0.4275,-20.1980,298.2252,28.1973,89.9731
67.2084,-0.5912,-0.5899,-0.7091,0.6761,0.5902,-11.3393,329.9206,107.0015,137.0823
67.3608,-0.6434,-0.6115,-0.5677,0.7395,0.6117,-8.7017,325.2589,150.9282,185.6707
67.5132,-0.3565,-0.8557,-0.8216,0.8105,0.2361,-7.9645,197.6995,36.6074,198.9077
67.6656,-0.9151,-0.9512,-0.8413,0.8912,0.2324,-5.8238,209.4447,86.3258,236.8811
67.8180,1.1850,-0.9583,-0.8400,0.9514,0.4055,2.4693,77.9649,32.1146,314.1494
67.9704,-0.4941,0.6310,0.9026,1.0087,0.8513,9.7525,359.2048,317.5763,318.3716
68.1228,-1.0286,0.6037,1.1852,1.0875,1.1734,12.5552,251.9971,192.1584,300.1577
68.2752,-1.0287,0.5987,1.1852,1.1730,1.2311,13.7239,257.6431,191.3239,293.6779
68.4276,0.5153,0.4297,-0.7260,1.2136,1.1329,13.5278,300.4007,219.0846,278.6887
68.5800,1.1875,1.1964,-0.7549,1.1965,1.1679,13.0375,23.3727,302.0085,278.6315
68.7324,1.1858,-0.2668,-0.7519,1.1772,0.9422,13.5894,39.9150,335.7440,295.8252
68.8848,1.1865,1.1964,1.1853,1.1339,0.8440,10.9250,343.5131,295.6731,312.1617
69.0372,0.6594,1.1982,1.1851,1.1015,0.5257,12.8166,307.2735,290.4875,343.2152
69.1896,0.3478,1.1992,1.1849,1.0518,0.5766,15.0684,236.3802,273.7930,37.4115
69.3420,-1.0330,1.2039,1.1841,1.0250,0.7799,15.0867,160.6811,218.0633,57.3839
69.4944,-1.0335,0.8928,1.1847,1.0301,0.5794,10.9146,150.7855,208.1782,57.3941
69.6468,0.2707,0.0803,-0.4166,1.0434,0.5021,10.7499,57.6397,116.0217,58.3807
69.7992,0.0514,0.2023,-0.4169,1.0476,0.3958,6.1087,224.1985,257.5692,33.3700
69.9516,0.0379,0.3446,-0.4172,1.0552,0.4592,4.9279,232.5793,261.3069,28.7268
70.1040,0.0099,0.4274,-0.4173,1.0567,0.3293,3.8882,237.9649,252.9665,15.0011
70.2564,0.0064,0.4326,-0.4174,1.0296,0.1695,-1.2607,260.7013,251.7582,351.0568
70.4088,0.0156,0.3100,-0.4171,1.0317,0.2605,-8.4532,19.5799,252.2456,232.6655
70.5612,0.7477,0.7101,-0.4174,1.0718,0.2608,-15.2620,69.6574,290.4956,220.8376
70.7136,0.3882,1.1992,1.0660,1.0937,0.0922,-17.2101,190.6077,290.3960,99.7881
70.8660,-0.9924,0.4037,1.1295,1.1177,0.1107,-22.0202,94.1975,205.8825,111.6851
71.0184,-1.1573,1.2042,-1.0871,1.1420,0.0698,-19.9955,243.4983,207.0618,323.5630
71.1708,-1.1573,1.2043,-1.0870,1.2185,0.4865,-19.4102,300.0724,206.7984,266.7270
71.3232,-1.1581,0.5872,-1.0858,1.2456,0.9829,-20.7323,292.9680,197.5784,264.6134
71.4756,-1.1583,0.4288,-1.0855,1.2458,1.4428,-22.6880,272.4817,184.3944,271.9136
71.6280,-1.1603,-1.1774,-1.0823,1.2462,1.9133,-24.6540,215.8784,131.3330,275.4395
71.7804,-1.1574,1.2043,-0.9370,1.2493,2.3927,-26.5908,269.8280,187.4973,277.6693
71.9328,-1.1584,1.1389,0.7089,1.2505,2.8428,-28.7236,282.5832,205.2611,282.6931
72.0852,-1.1604,-1.0458,-0.6257,1.2069,3.1642,-33.3395,210.8425,140.8467,289.9658
72.2376,-1.1614,-1.0458,0.9761,1.2200,3.5441,-40.7129,181.8136,116.7663,294.9492
72.3900,-1.1273,-1.0459,-0.9915,1.1807,3.6478,-42.8661,175.9845,116.5477,300.5713
72.5424,-0.1665,-0.0635,-0.9929,1.1171,3.6628,-45.2874,154.3765,94.7409,300.4101
72.6948,-0.1873,-0.0560,-0.9929,1.0309,3.5488,-43.4016,197.0077,142.7193,305.6808
72.8472,-0.1872,-0.0563,-0.9929,0.9069,3.2657,-38.8574,197.7523,142.7473,304.9679
72.9996,-0.1681,-0.0642,-0.9928,0.7976,2.9527,-32.6806,195.2558,140.7310,305.4559
73.1520,-0.1587,-0.0707,-0.9928,0.6926,2.6436,-24.9610,197.2436,136.0126,298.7517
73.3044,-0.1971,-0.0098,-0.9929,0.6225,2.4536,-23.2108,220.2582,147.9825,287.6983
73.4568,-0.1922,0.0283,-0.9931,0.5522,2.1557,-15.1671,246.4447,167.2314,280.7719
73.6092,-0.1503,-0.0716,-0.9928,0.4964,1.8679,-15.1670,246.1067,161.0352,274.9171
73.7616,-0.1041,-0.3240,-0.9923,0.4134,1.6416,-3.3747,171.2595,78.6425,267.3865
73.9140,-0.4039,-0.3238,1.1875,0.4646,1.1872,12.2912,243.8321,148.3586,264.5216
74.0664,0.2788,0.5197,1.1863,0.5579,0.8206,22.2733,49.1543,292.8396,243.6823
74.2188,0.3113,0.5998,1.1861,0.6534,0.6485,31.6624,72.7818,278.2787,205.4960
74.3712,0.3002,0.5777,1.1861,0.7615,0.8306,38.3616,111.1194,278.4432,167.3259
74.5236,0.2999,0.5784,1.1861,0.8767,1.2249,42.3538,130.0598,278.0051,147.9517
74.6760,0.2973,0.5861,1.1860,0.9944,1.6947,44.8718,136.3051,277.3689,141.0764
74.8284,0.3196,0.4893,1.1863,1.0994,2.1382,47.9329,139.9894,278.7375,138.7676
74.9808,0.0268,0.3139,1.1012,1.1702,2.4851,51.4963,149.4603,286.9762,137.5396
75.1332,-1.1174,1.2041,0.8876,1.2671,2.8909,55.7854,67.0302,202.2498,135.1933
75.2856,-0.8686,0.4809,1.0334,1.2743,3.2924,58.1163,53.8471,195.7616,141.8694
75.4380,-0.8137,0.4053,1.1858,1.2476,3.4176,57.6310,44.0249,185.9399,141.8641
75.5904,-0.8641,0.4711,1.0888,1.2178,3.4291,57.9285,44.9670,187.0197,142.0013
75.7428,-1.0861,0.6774,0.7904,1.1960,3.4502,58.4358,47.8250,189.8336,141.9569
75.8952,-1.0837,0.6784,0.7860,1.1679,3.4855,58.7387,49.3572,191.3056,141.8960
