#HOLE:,940A
#LEG:,155
#TOP:,77.419197
#BOTTOM:,227.076004
DEPTH_WMSF,RHOB,PEF,DRHO
m,g/cm3,barns/e-,g/cm3
77.4192,1.9078,2.6903,0.0766
77.5716,1.8590,2.7466,0.0119
77.7240,1.8326,2.8616,0.0123
77.8764,1.8318,2.8753,0.0133
78.0288,1.8394,2.8664,0.0213
78.1812,1.8339,2.8366,0.0147
78.3336,1.8313,2.9352,0.0163
78.4860,1.8309,2.9177,0.0161
78.6384,1.8674,2.8491,0.0247
78.7908,1.8517,2.8681,0.0088
78.9432,1.8477,2.9004,0.0101
79.0956,1.8444,2.9560,0.0113
79.2480,1.8467,2.9320,0.0110
79.4004,1.8466,2.9057,0.0125
79.5528,1.8457,2.8384,0.0087
79.7052,1.8466,2.8508,0.0092
79.8576,1.8509,2.8658,0.0083
80.0100,1.8547,2.8530,0.0077
80.1624,1.8569,2.8535,0.0083
80.3148,1.8548,2.8143,0.0086
80.4672,1.8519,2.8458,0.0084
80.6196,1.8510,2.7696,0.0073
80.7720,1.8492,2.7907,0.0075
80.9244,1.8453,2.7985,0.0075
81.0768,1.8474,2.8926,0.0087
81.2292,1.8574,2.9071,0.0105
81.3816,1.8636,2.8934,0.0103
81.5340,1.8616,2.8565,0.0097
81.6864,1.8550,2.8806,0.0067
81.8388,1.8623,2.9131,0.0099
81.9912,1.8636,2.9260,0.0095
82.1436,1.8656,2.8553,0.0085
82.2960,1.8634,2.7832,0.0085
82.4484,1.8530,2.8239,0.0082
82.6008,1.8302,2.8962,0.0084
82.7532,1.8466,2.9558,0.0322
82.9056,1.8638,3.0114,0.0393
83.0580,1.8691,2.9971,0.0219
83.2104,1.8593,2.9490,0.0083
83.3628,1.8534,2.8691,0.0034
83.5152,1.8547,2.8420,0.0055
83.6676,1.8584,2.8806,0.0069
83.8200,1.8570,2.9042,0.0050
83.9724,1.8613,2.8849,0.0101
84.1248,1.8579,2.9327,0.0066
84.2772,1.8591,2.9433,0.0079
84.4296,1.8514,2.9636,0.0037
84.5820,1.8547,2.9443,0.0071
84.7344,1.8568,2.9177,0.0070
84.8868,1.8587,2.9195,0.0091
85.0392,1.8598,2.9479,0.0118
85.1916,1.8539,2.9652,0.0094
85.3440,1.8595,2.9724,0.0076
85.4964,1.8639,2.8761,0.0083
85.6488,1.8667,2.8751,0.0084
85.8012,1.8639,2.9369,0.0085
85.9536,1.8602,3.0073,0.0083
86.1060,1.8529,2.9344,0.0083
86.2584,1.8589,2.8828,0.0086
86.4108,1.8646,2.8453,0.0076
86.5632,1.8722,2.9389,0.0092
86.7156,1.8674,2.9281,0.0118
86.8680,1.8647,2.9614,0.0104
87.0204,1.8686,2.9171,0.0123
87.1728,1.8659,2.9528,0.0109
87.3252,1.8595,3.0043,0.0112
87.4776,1.8570,2.9609,0.0084
87.6300,1.8596,2.8761,0.0087
87.7824,1.8634,2.7792,0.0109
87.9348,1.8516,2.8104,0.0117
88.0872,1.8402,2.7903,0.0085
88.2396,1.8464,2.7864,0.0244
88.3920,1.8428,2.8224,0.0340
88.5444,1.8301,2.8713,0.0461
88.6968,1.8601,2.9030,0.0745
88.8492,1.8886,2.8320,0.0868
89.0016,1.9045,2.8808,0.0723
89.1540,1.8804,2.8736,0.0342
89.3064,1.8638,2.9078,0.0095
89.4588,1.8695,2.9184,0.0084
89.6112,1.8687,2.8557,0.0083
89.7636,1.8684,2.8725,0.0084
89.9160,1.8672,2.8394,0.0092
90.0684,1.8597,2.8817,0.0095
90.2208,1.8476,2.8588,0.0084
90.3732,1.8417,2.7352,0.0118
90.5256,1.8452,2.7440,0.0169
90.6780,1.8428,2.7357,0.0121
90.8304,1.8400,2.7853,0.0106
90.9828,1.8318,2.7298,0.0046
91.1352,1.8414,2.7144,0.0155
91.2876,1.8447,2.7224,0.0179
91.4400,1.8501,2.7224,0.0274
91.5924,1.8406,2.6799,0.0224
91.7448,1.8418,2.6708,0.0257
91.8972,1.8432,2.6400,0.0284
92.0496,1.8465,2.6085,0.0348
92.2020,1.8372,2.5600,0.0333
92.3544,1.8404,2.6268,0.0347
92.5068,1.8361,2.7664,0.0297
92.6592,1.8563,2.9046,0.0301
92.8116,1.8590,2.9406,0.0194
92.9640,1.8686,2.9243,0.0114
93.1164,1.8685,2.9485,0.0083
93.2688,1.8679,2.9785,0.0077
93.4212,1.8713,2.9747,0.0085
93.5736,1.8718,2.9125,0.0137
93.7260,1.8705,2.8850,0.0088
93.8784,1.8656,2.8971,0.0038
94.0308,1.8709,2.9456,0.0053
94.1832,1.8681,2.8725,0.0045
94.3356,1.8694,2.8816,0.0099
94.4880,1.8675,2.9188,0.0094
94.6404,1.8645,2.9582,0.0072
94.7928,1.8690,2.9478,0.0082
94.9452,1.8718,2.9224,0.0083
95.0976,1.8746,2.9166,0.0113
95.2500,1.8752,2.9253,0.0116
95.4024,1.8772,2.8986,0.0136
95.5548,1.8775,2.8729,0.0125
95.7072,1.8725,2.8753,0.0102
95.8596,1.8706,2.8886,0.0083
96.0120,1.8722,2.8721,0.0089
96.1644,1.8690,2.8697,0.0114
96.3168,1.8554,2.9155,0.0075
96.4692,1.8584,2.9633,0.0115
96.6216,1.8705,2.9433,0.0139
96.7740,1.8727,2.9197,0.0064
96.9264,1.8782,2.9375,0.0116
97.0788,1.8729,2.9558,0.0122
97.2312,1.8598,2.9329,0.0083
97.3836,1.8569,2.9224,0.0119
97.5360,1.8611,2.9357,0.0193
97.6884,1.8685,2.9356,0.0197
97.8408,1.8656,2.9531,0.0120
97.9932,1.8696,2.9207,0.0132
98.1456,1.8705,2.9579,0.0136
98.2980,1.8743,2.9341,0.0133
98.4504,1.8763,2.9140,0.0110
98.6028,1.8758,2.8529,0.0091
98.7552,1.8757,2.9180,0.0083
98.9076,1.8781,2.9068,0.0101
99.0600,1.8798,2.9047,0.0097
99.2124,1.8792,2.8733,0.0081
99.3648,1.8847,2.9550,0.0090
99.5172,1.8827,2.9470,0.0068
99.6696,1.8846,2.9299,0.0069
99.8220,1.8853,2.8741,0.0051
99.9744,1.8925,2.8967,0.0091
100.1268,1.8948,2.9032,0.0108
100.2792,1.8877,2.9372,0.0085
100.4316,1.8850,2.9238,0.0092
100.5840,1.8803,2.9254,0.0087
100.7364,1.8862,2.8929,0.0113
100.8888,1.8842,2.9197,0.0100
