#HOLE:,940A
#LEG:,155
#TOP:,0.000000
#BOTTOM:,237.134399
DEPTH_WMSF,SGR,CGR,THOR,URAN,POTA,W1NG,W2NG,W3NG,W4NG,W5NG
m,gAPI,gAPI,ppm,ppm,%,cps,cps,cps,cps,cps
0.0000,14.9671,5.2034,1.0069,1.1030,0.1040,30.0363,11.3931,1.5536,0.0000,0.5179
0.1524,21.3421,7.1856,1.3581,1.5993,0.1500,50.2070,16.0455,4.6584,2.5880,1.0352
0.3048,23.9010,7.4759,1.4131,1.8556,0.1560,46.0460,14.5145,3.5035,2.0020,1.0010
0.4572,23.2012,6.3474,1.2137,1.9040,0.1297,46.0424,12.4159,4.1386,0.5173,2.0693
0.6096,24.9870,6.5933,1.2626,2.0780,0.1344,43.5008,14.5003,4.6608,2.0715,1.0357
0.7620,25.2914,7.2606,1.3821,2.0370,0.1496,53.3402,18.1253,4.6608,2.0715,1.0357
0.9144,26.2810,8.5012,1.5487,2.0086,0.1890,40.0000,21.0000,3.5000,1.0000,0.0000
1.0668,26.9073,10.1314,1.8121,1.8952,0.2318,49.1718,17.5984,2.5880,2.5880,1.0352
1.2192,30.7656,12.3593,2.1508,2.0794,0.2946,49.7152,25.3755,8.2859,1.0357,1.0357
1.3716,31.8839,13.0683,2.3169,2.1256,0.3031,63.6646,24.3271,8.2816,0.5176,1.0352
1.5240,31.6986,12.7688,2.3118,2.1385,0.2866,55.8717,18.6239,6.2080,1.0347,0.5173
1.6764,32.9255,13.3943,2.4545,2.2065,0.2949,59.0062,16.5632,4.1408,1.0352,1.0352
1.8288,35.2070,14.8400,2.6782,2.3009,0.3348,72.5726,24.0240,8.5085,2.5025,0.0000
1.9812,36.9667,15.5534,2.7873,2.4191,0.3548,68.2876,22.2452,7.2426,3.6213,0.5173
2.1336,35.2646,14.4932,2.5971,2.3466,0.3307,59.0062,28.4679,5.6936,2.0704,1.0352
2.2860,37.6018,15.1981,2.7847,2.5310,0.3347,56.9064,26.3839,7.7600,0.5173,1.0347
