#HOLE:,940A
#LEG:,155
#TOP:,83.362801
#BOTTOM:,231.952805
DEPTH_WMSF,SGR,CGR,THOR,URAN,POTA,W1NG,W2NG,W3NG,W4NG,W5NG
m,gAPI,gAPI,ppm,ppm,%,cps,cps,cps,cps,cps
83.3628,75.5183,90.6449,17.1798,-1.7089,1.8830,215.2736,87.1918,16.8370,3.0066,7.2159
83.5152,72.6957,70.6786,12.4886,0.2279,1.6475,180.9772,66.4932,22.5499,4.6256,3.4692
83.6676,70.3445,61.7372,10.2299,0.9724,1.5732,232.5721,71.5144,21.6346,3.6058,4.2067
83.8200,73.0998,63.6110,10.7452,1.0720,1.5805,198.3232,70.5406,18.5025,4.0474,5.7820
83.9724,69.5075,61.2765,10.1290,0.9299,1.5664,214.9308,65.6231,19.2655,7.2246,6.6225
84.1248,71.3413,61.2939,10.1415,1.1351,1.5649,189.7599,62.4819,26.0341,2.8927,5.7854
84.2772,72.2044,62.4087,10.2640,1.1066,1.6056,208.4084,75.0751,22.2222,3.6036,4.8048
84.4296,74.5862,62.9659,10.2631,1.3128,1.6382,223.0569,68.7663,13.8688,4.6229,6.3565
84.5820,73.6453,60.2787,9.7680,1.5101,1.5796,202.2269,80.6500,18.0560,4.2131,2.4075
84.7344,73.1729,58.0152,9.2796,1.7124,1.5443,182.8022,70.9561,21.6476,7.2159,8.4185
84.8868,72.7634,56.4978,8.9486,1.8376,1.5214,204.5652,69.3441,23.6926,1.1557,2.3115
85.0392,74.7421,57.4208,8.9978,1.9568,1.5654,196.5144,70.3125,20.4327,3.6058,4.2067
85.1916,78.2218,58.9978,9.1642,2.1718,1.6244,202.0445,82.3812,16.2357,3.0066,5.4119
85.3440,78.9017,58.6129,9.0553,2.2921,1.6235,228.3897,74.0098,21.9717,5.2038,4.6256
85.4964,78.6111,57.9793,8.7948,2.3308,1.6381,191.9374,64.3803,25.2708,6.6185,4.8135
85.6488,80.5181,58.5545,8.7241,2.4813,1.6856,188.9627,76.8564,18.4918,2.8893,6.3565
85.8012,84.1260,60.5847,8.9384,2.6595,1.7614,225.2252,79.2793,28.8288,6.0060,2.4024
85.9536,86.4134,60.9708,8.9825,2.8743,1.7752,218.1490,79.3269,16.2260,1.8029,4.8077
86.1060,83.5048,59.0848,8.6911,2.7588,1.7230,199.4796,68.2278,23.1281,6.9384,4.0474
86.2584,86.6855,61.9984,9.0157,2.7890,1.8285,197.2339,63.7402,23.4516,5.4119,2.4053
86.4108,88.7412,63.8906,9.3357,2.8074,1.8754,230.3759,73.9850,25.8647,5.4135,5.4135
86.5632,89.8514,64.3656,9.4411,2.8792,1.8823,211.6219,67.6496,24.2845,5.7820,3.4692
86.7156,89.2236,63.4664,9.2864,2.9099,1.8605,193.5096,67.9087,24.6394,4.8077,3.6058
86.8680,91.9709,64.5573,9.3033,3.0970,1.9207,220.1676,73.3892,21.3811,4.0451,2.8893
87.0204,93.2754,64.5521,9.1712,3.2450,1.9465,221.7548,78.1250,22.2356,4.8077,3.6058
87.1728,95.3568,65.2760,9.1934,3.3983,1.9842,187.0114,73.9627,28.8635,3.0066,4.8106
87.3252,93.9195,64.5367,9.1843,3.3195,1.9430,225.9463,78.5900,22.5368,3.4672,4.6229
87.4776,94.3753,66.1446,9.4446,3.1893,1.9852,211.0643,70.3548,21.6476,4.8106,4.2093
87.6300,90.4568,64.4477,9.3382,2.9383,1.9074,192.5412,83.2611,16.7679,3.4692,5.2038
87.7824,91.7459,67.4439,9.8412,2.7455,1.9824,188.1010,77.5240,21.0337,3.0048,4.8077
87.9348,92.8055,68.7199,10.1138,2.7210,2.0029,227.2333,68.2278,19.6589,3.4692,5.7820
88.0872,92.4877,70.0442,10.3328,2.5355,2.0367,210.9375,74.5192,17.4279,3.0048,4.2067
88.2396,88.6251,68.1609,10.0542,2.3119,1.9821,202.3706,63.6022,17.9243,2.8910,4.0474
88.3920,86.7487,68.5582,10.2836,2.0550,1.9599,189.4167,62.5376,28.2622,3.0066,1.8040
88.5444,88.5755,69.8628,10.7620,2.1140,1.9413,204.1052,64.1804,15.0332,4.6256,1.7346
88.6968,90.4758,71.3644,11.3230,2.1591,1.9178,199.5792,67.9291,24.6468,6.6126,4.8091
88.8492,92.0153,72.7590,11.7509,2.1754,1.9145,207.9723,64.7025,21.3749,1.1554,4.6216
89.0016,90.3489,73.5531,11.9836,1.8975,1.9147,211.1278,67.9699,12.0301,5.4135,5.4135
89.1540,90.1333,74.6102,12.1789,1.7537,1.9377,182.9122,66.1853,29.4826,2.4067,6.0168
89.3064,91.0234,75.6682,12.3797,1.7347,1.9596,201.0979,71.6556,15.0246,5.2008,4.0451
89.4588,91.9887,75.1275,12.3145,1.9049,1.9410,202.8316,74.5449,22.5368,4.6229,7.5123
89.6112,92.0196,72.7668,12.0542,2.1750,1.8550,192.4233,68.5508,24.0529,5.4119,3.0066
89.7636,88.4515,67.2070,11.3166,2.4000,1.6770,193.1194,60.7112,26.0191,2.8910,4.6256
89.9160,87.0217,63.8593,11.1151,2.6167,1.5219,171.2740,64.3029,18.6298,3.6058,6.0096
90.0684,87.6438,64.2125,11.3973,2.6471,1.4866,172.7824,65.8769,16.7582,6.9344,6.9344
90.2208,90.0130,67.3127,11.9938,2.5645,1.5493,192.9087,70.9135,14.4231,7.2115,3.0048
90.3732,93.8814,71.6609,12.7494,2.5103,1.6532,185.1316,70.5814,20.2488,2.3141,8.6780
90.5256,98.0792,75.9613,13.4968,2.4987,1.7558,193.6260,78.1720,24.0529,3.6079,6.0132
90.6780,98.5318,74.4860,13.5018,2.7165,1.6690,214.2651,77.9671,25.4115,2.8877,6.9304
90.8304,98.1684,73.4129,13.5615,2.7967,1.5947,191.5916,71.4715,13.2132,4.2042,4.8048
90.9828,93.1619,67.2726,12.6765,2.9248,1.4120,198.4366,72.7601,19.2423,4.2093,3.6079
91.1352,93.6589,67.9412,12.7875,2.9054,1.4290,183.8682,70.5406,17.3461,2.8910,3.4692
91.2876,93.3441,65.2951,12.3868,3.1688,1.3541,188.8722,67.9699,18.6466,10.8271,5.4135
91.4400,92.0387,62.1644,11.9128,3.3750,1.2655,210.2102,69.0691,8.4084,3.6036,3.0030
91.5924,90.1273,58.2436,11.2286,3.6020,1.1724,188.3849,53.1638,15.6024,4.0451,4.6229
