#HOLE:,940a
#LEG:,155
#TOP:,62.179199
#BOTTOM:,231.800400
DEPTH_WMSF,SGR,CGR,THOR,URAN,POTA,W1NG,W2NG,W3NG,W4NG,W5NG
m,gAPI,gAPI,ppm,ppm,%,cps,cps,cps,cps,cps
62.1792,23.1972,2.3947,1.4141,2.3501,-0.1401,32.8793,16.9093,3.7576,1.8788,0.9394
62.3316,20.3421,1.4315,1.1121,2.1364,-0.1365,27.2556,20.6767,0.9398,0.0000,0.0000
62.4840,20.0649,4.2763,1.6064,1.7837,-0.0685,37.5940,19.7368,3.7594,2.8195,0.0000
62.6364,20.1147,9.9782,2.6507,1.1451,0.0571,48.8722,17.8571,6.5789,2.8195,1.8797
62.7888,19.6559,9.3750,2.5491,1.1615,0.0421,41.3534,14.0977,2.8195,0.0000,3.7594
62.9412,19.0745,8.8130,2.4566,1.1593,0.0276,45.0704,8.4507,4.6948,0.9390,0.9390
63.0936,17.3206,7.1873,2.0783,1.1448,0.0077,42.2734,18.7882,3.7576,2.8182,1.8788
63.2460,17.7583,7.3363,2.0597,1.1774,0.0201,21.5962,13.1455,5.6338,2.8169,1.8779
63.3984,17.2391,6.4453,1.7806,1.2194,0.0234,37.5235,24.3902,2.8143,0.0000,1.8762
63.5508,17.4031,6.3330,1.6627,1.2506,0.0401,46.0094,13.1455,1.8779,5.6338,0.0000
63.7032,16.5648,6.1093,1.4666,1.1812,0.0659,31.0150,14.0977,2.8195,0.0000,0.9398
63.8556,15.3332,5.8058,1.3188,1.0763,0.0774,37.5940,16.9173,3.7594,0.0000,1.8797
64.0080,16.8930,6.7253,1.5535,1.1487,0.0846,36.6541,12.2180,4.6992,0.9398,0.0000
64.1604,16.5072,6.9892,1.6236,1.0753,0.0861,44.0882,16.0321,3.0060,2.0040,1.0020
64.3128,16.5620,6.9844,1.5959,1.0820,0.0913,36.6197,15.0235,4.6948,0.0000,0.9390
64.4652,15.9498,6.3352,1.4048,1.0862,0.0913,37.5587,12.2066,5.6338,0.0000,0.0000
64.6176,16.6566,6.2837,1.3290,1.1719,0.1032,38.8864,15.9081,2.6513,0.8838,0.0000
64.7700,17.6683,7.1748,1.4342,1.1855,0.1343,43.2331,13.1579,4.6992,2.8195,0.0000
64.9224,16.8848,7.3413,1.4409,1.0782,0.1427,46.9925,15.0376,3.7594,1.8797,0.9398
65.0748,15.5721,7.7333,1.4571,0.8856,0.1623,34.1023,11.0331,6.0181,0.0000,1.0030
65.2272,14.9693,7.9612,1.4956,0.7917,0.1680,30.0469,15.0235,4.6948,1.8779,0.0000
65.3796,15.5137,8.2232,1.4932,0.8236,0.1837,35.3826,16.8067,5.3074,3.5383,0.8846
65.5320,16.0711,8.0271,1.4463,0.9087,0.1816,33.0496,19.0285,2.0030,3.0045,1.0015
65.6844,14.7647,7.1959,1.2551,0.8551,0.1710,34.7744,15.9774,2.8195,1.8797,1.8797
65.8368,15.0104,7.4825,1.2553,0.8504,0.1876,32.9102,10.3432,2.8209,0.0000,0.9403
65.9892,16.0744,8.1118,1.3825,0.8996,0.1991,37.5587,15.9624,5.6338,0.9390,0.9390
