#HOLE:,940A
#LEG:,155
#TOP:,75.895203
#BOTTOM:,213.817200
DEPTH_WMSF,DTLN,DTLF,LTT1,LTT2,LTT3,LTT4,VP1,VP2
m,us/ft,us/ft,us,us,us,us,km/s,km/s
75.8952,191.1000,193.3000,2004.0000,1626.8000,2382.8000,2007.2000,-999.2500,-999.2500
76.0476,189.2000,193.2997,2003.2000,1627.6000,2384.3999,2005.6000,1.6110,1.5768
76.2000,189.4000,188.6000,2003.6000,1627.9999,2384.7998,2006.4001,1.6093,1.6161
76.3524,189.0000,189.0000,2003.2000,1625.6000,2381.6001,2007.9999,1.6127,1.6127
76.5048,189.1000,189.2000,2002.8000,1625.6000,2380.3999,2006.7999,1.6118,1.6110
76.6572,189.3000,190.0999,2002.8000,1625.2000,2380.3999,2005.5999,1.6101,1.6034
76.8096,189.4000,188.6000,2003.2000,1625.2000,2380.0000,2004.4000,1.6093,1.6161
76.9620,189.4000,188.7000,2003.1998,1625.2000,2380.0000,2004.0000,1.6093,1.6153
77.1144,189.1000,188.6000,2000.4000,1625.1998,2380.0000,2004.0000,1.6118,1.6161
77.2668,189.0000,189.1000,2000.0000,1623.9999,2380.0000,2004.0000,1.6127,1.6118
77.4192,189.3000,189.1000,2000.4000,1621.2001,2379.6001,2004.0000,1.6101,1.6118
77.5716,189.0000,189.5000,2000.4000,1622.4000,2379.6001,2004.0000,1.6127,1.6084
77.7240,189.2000,188.8000,1999.6000,1622.4000,2380.8000,2003.6000,1.6110,1.6144
77.8764,188.5000,188.5000,1999.2001,1622.4000,2382.0000,2003.6000,1.6170,1.6170
78.0288,188.6001,188.7000,2000.4000,1621.9999,2381.2000,2004.4000,1.6161,1.6153
78.1812,188.8001,188.5999,2000.8000,1620.8002,2381.2000,2004.0000,1.6144,1.6161
78.3336,190.1000,188.1000,2000.4000,1622.4001,2379.2000,2004.0000,1.6034,1.6204
78.4860,189.4000,188.4000,2000.0000,1623.9999,2379.2000,2003.2000,1.6093,1.6178
78.6384,190.0000,188.7000,1999.2000,1622.8000,2378.3999,2003.6000,1.6042,1.6153
78.7908,190.4000,188.5001,1999.2000,1623.5999,2378.7998,2003.9999,1.6008,1.6170
78.9432,189.8000,189.4000,1998.7999,1622.4000,2374.0000,2002.4000,1.6059,1.6093
79.0956,190.2000,189.6000,1997.6000,1622.0000,2374.0000,2001.5997,1.6025,1.6076
79.2480,189.9000,190.2000,1996.8002,1622.0000,2373.6001,1997.9999,1.6051,1.6025
79.4004,189.9000,190.1000,1999.5999,1622.3999,2373.6001,1996.8000,1.6051,1.6034
79.5528,189.9999,189.6999,1996.7997,1621.2001,2373.2002,1996.8000,1.6042,1.6067
